stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,2,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,55,0,0,0,0,24.63,0,9.85,0,0,0,0
 36-46,0,0.81,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0.81,0,115.21,0,0,0,0,18.53,0,13.7,0,0,0,0
 48-58,0,1.15,0.57,6.31,0,0,0,0.57,0,0,0,0,0,0,0,0,0.57,0.57,1.15,148.04,0,0,0,1.72,13.77,0.57,13.77,0,0,0,0.57
 60-70,0.98,0,0,6.87,0,0,0,0.98,0,0.98,0,0,0,0,0,0,1.96,0.98,0,214.95,0,0.98,0,0,9.82,0,7.85,0,0,0,0
 72-82,0,4.91,0.98,11.78,0,0,0,3.93,0,0,0,0,0,0,0,0.98,2.94,0,0,231.67,0,0.98,0,0,8.83,0,5.89,0.98,0.98,0,0.98
 84-94,0,1.06,0,14.87,0,0,0,2.12,0,0,2.12,0,1.06,1.06,0,0,6.37,2.12,0,115.76,0,0,1.06,0,13.81,0,2.12,0,1.06,0,0
 96-106,0,2.19,2.19,9.84,0,1.09,0,3.28,1.09,0,0,0,0,0,0,0,6.56,0,2.19,139.88,0,1.09,1.09,1.09,19.67,0,1.09,5.46,0,1.09,0
108-118,0,0,0,5.36,0,0,0,3.06,0,0,0,0.77,0,0,0,0,4.6,0,0,150.89,0,0.77,0,0,9.19,0.77,0,2.3,0.77,0,0
120,0,3.92,1.96,11.76,1.96,0,1.96,5.88,0,0,1.96,0,0,0,1.96,0,7.84,0,1.96,170.5,1.96,0,0,0,13.72,0,0,1.96,0,0,0
