stage,blastomeres,endoderm,exocrine_pancreas,glial,heart,immune,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 72-82,0,0,0,0,0,7.85,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,13.11,1.09,0,0,1.09,0,0,1.09
108-118,0,0,0.77,1.53,0,22.98,0.77,0,0,0,0,0.77,0
120,0,0,0,0,0,31.36,0,0,0,0,0,0,0
