stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,3.15,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,29,4,0,9,0,1,0,3,2,0,0,0,0,0,0,1,1,26,0,6,63,1,0,2,2,0,0,19,3,0,19,39,0,0,1,0,0
 24-34,0,0,0.82,16.42,0,0,6.57,0,0,2.46,0,0.82,0,3.28,0,0,0,0.82,0,0.82,41.86,0.82,8.21,59.92,0.82,0.82,1.64,0,0,1.64,0,0,0.82,0,15.6,0,0,0.82,0,0
 36-46,0,0,0,7.25,0.81,0,4.83,0,0,0.81,9.67,0.81,0,4.03,0,0,0,0.81,0.81,0,40.28,2.42,8.86,48.34,1.61,0,0,0,0,0.81,0,0.81,0,0,25.78,0,0,1.61,0,0
 48-58,0,0,0,8.03,0,0,7.46,0,0.57,0.57,12.62,0.57,0,1.72,0,0,1.15,0,0,0,30.99,1.15,9.18,24.1,0,0,1.15,0,0,0,0,0,0.57,0,16.07,0,0.57,2.3,0,0
 60-70,0,0,0,11.78,0,0,4.91,0.98,0.98,0,14.72,2.94,0,1.96,0.98,0,0.98,0.98,0,0,44.17,0,7.85,30.43,0,0.98,2.94,0,0.98,1.96,0,0,0,0,10.8,0,1.96,0,0.98,0
 72-82,0,0,0,14.72,2.94,0,15.71,0.98,0.98,4.91,29.45,2.94,0.98,0.98,5.89,0.98,0.98,0.98,0,0.98,87.37,4.91,7.85,33.38,0,0.98,0.98,0,0,0,0,0.98,0,0,5.89,0.98,1.96,2.94,0,0.98
 84-94,0,0,0,24.43,1.06,2.12,10.62,0,3.19,2.12,10.62,4.25,0,0,14.87,0,5.31,0,0,0,46.73,2.12,4.25,14.87,0,0,2.12,0,1.06,2.12,0,0,1.06,0,4.25,0,2.12,2.12,4.25,0
 96-106,0,0,0,28.41,0,0,9.84,0,3.28,0,20.76,2.19,0,2.19,24.04,2.19,4.37,1.09,0,0,63.39,2.19,1.09,19.67,0,0,2.19,0,3.28,7.65,0,0,0,0,0,2.19,2.19,4.37,4.37,2.19
108-118,0,0,0,37.53,0.77,0,6.89,0,2.3,3.06,20.68,2.3,0,1.53,19.15,2.3,6.89,1.53,0,0,63.57,1.53,4.6,25.28,0,0,3.83,0,0.77,2.3,0,0,0,0,1.53,3.06,3.06,6.13,1.53,0.77
120,0,0,0,41.16,1.96,0,9.8,0,1.96,0,19.6,3.92,0,1.96,21.56,0,5.88,0,0,0,58.79,3.92,7.84,13.72,0,0,5.88,0,1.96,0,0,0,0,0,0,0,1.96,5.88,0,0
