stage,axial,blastomeres,endoderm,epidermis,eye,glial,heart,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,9.44,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,8,1,0,0,0,0,1,5,1
 24-34,0,0,0,0,0.82,0,0,0.82,0,0.82,15.6,0,0,0,0,0.82,0,2.46,0
 36-46,0,0,0,0.81,0,0,0.81,0.81,0,0,5.64,0.81,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,1.15,0,0.57,0,0,3.44,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,2.12,0,1.06,1.06,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,3.28,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0,1.53,1.53,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,1.96,1.96,5.88,0,0,0,0,0,0,0,0
