stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,12.89,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,4.02,0,0.57,0,0,0,0,0,0,2.3,0,0,0.57,43.61,0,0,0,0,0,0,0,0.57,0,2.87,0,0,0.57,0
 60-70,0,0,0,1.96,0,26.5,0.98,0,0,0,0,0,0,0,3.93,0,0,0,126.62,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,1.96,0.98,58.9,0,7.85,0,0,0,0,0,0,15.71,0,0,0,288.61,0,0,0.98,0,0.98,0.98,0.98,0,0,6.87,0,0,0,0
 84-94,0,0,0,2.12,0,31.86,0,6.37,1.06,1.06,1.06,1.06,1.06,0,12.74,0,1.06,1.06,142.31,0,0,1.06,0,1.06,1.06,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,2.19,0,43.71,0,9.84,0,3.28,1.09,0,0,1.09,12.02,0,0,0,155.18,0,1.09,0,0,0,1.09,1.09,0,0,1.09,0,0,3.28,0
108-118,0,0,0,1.53,0.77,28.34,0.77,5.36,0.77,1.53,0.77,0,0.77,0.77,9.19,0,0.77,0,152.43,0,0,0,0,0,0.77,0,0,0,0.77,0.77,0.77,1.53,0.77
120,0,0,0,7.84,0,27.44,0,5.88,0,0,1.96,0,0,0,3.92,1.96,1.96,0,250.85,0,0,0,0,0,1.96,0,0,0,7.84,0,0,0,0
