stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,neural,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0
 24-34,0,3.28,0,0,0,0,0,0,4.1,0,0,0.82,10.67,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,3.22,0,0,0.81,2.42,0,0,0,1.61
 48-58,0,1.15,0,0,0,0,0.57,0,9.18,0,0.57,1.15,2.3,0.57,0,0.57,0
 60-70,0,0.98,0,0,0,0,0,4.91,3.93,0.98,0.98,0.98,2.94,1.96,0.98,0,0
 72-82,0,0,0,1.96,0,0,0,18.65,7.85,0,1.96,1.96,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,15.93,9.56,0,0,3.19,0,2.12,2.12,0,2.12
 96-106,0,2.19,0,1.09,0,1.09,0,21.86,6.56,0,0,2.19,1.09,1.09,0,0,0
108-118,0,0.77,0,0,0.77,0.77,0,21.45,5.36,0,0.77,0,0.77,1.53,0.77,0,0
120,0,0,1.96,0,0,1.96,0,17.64,1.96,0,0,0,0,0,0,0,0
