stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.28,0,0,1.64,7.39,0,0.82,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,7.25,0,0,2.42,3.22,0.81,0,0,0,0,4.03,0,0,0,0
 48-58,0,0.57,0,0.57,0.57,0.57,0,0,0,8.61,0,0,1.15,2.87,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0.98,1.96,0,0,0,0,13.74,0,0,1.96,1.96,0,0,0,0.98,0,0.98,0,0,0.98,0
 72-82,0,0,0,1.96,1.96,1.96,0,0,0,42.21,0,0,0.98,0.98,0,0,0,1.96,0,0,1.96,0,0,0.98
 84-94,0,0,0,1.06,0,2.12,1.06,0,0,28.68,0,1.06,0,0,0,0,0,1.06,0,0,1.06,0,0,0
 96-106,0,1.09,0,0,4.37,0,0,1.09,0,39.34,0,1.09,0,3.28,0,0,0,3.28,0,0,1.09,1.09,0,0
108-118,0,0.77,0.77,1.53,3.06,3.06,0,0,0.77,49.02,0.77,0,2.3,6.13,0,0,0,0,0,0,0.77,0,0,0
120,0,5.88,0,1.96,0,1.96,0,0,0,13.72,0,1.96,0,3.92,0,0,0,1.96,0,0,0,0,0,0
