stage,epidermis,eye,fin.epithelia,glial,iridophores,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,vasculature
 10-12,0,0,0,0,0,0,0,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0
 24-34,0.82,0,0,0,0,0,0,0.82,0,2.46,0
 36-46,0,0.81,0,0,0,0,0,1.61,0,5.64,0
 48-58,0.57,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0.98,0,0,0,0,0,1.96,0,7.85,0
 72-82,1.96,0,0,0,0,0.98,0,1.96,0,0.98,0
 84-94,1.06,2.12,0,1.06,0,1.06,0,0,0,14.87,0
 96-106,1.09,0,1.09,0,1.09,0,1.09,0,0,8.74,1.09
108-118,4.6,0,0,0,0,0,0,0,0,9.96,0
120,0,0,0,0,0,1.96,0,1.96,0,21.56,0
