stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,18.4,0,31.54,0,0,0,76.23,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,404.82,23.66,0,0,160.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,0,84.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.82,22.03,0,0,116.44,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,1,4,65,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,4,39,3,0,5,2,0,14,5,1,5,13,0,0,3,0,0
 24-34,0,0,0.82,1.64,63.21,0.82,0,3.28,0,4.93,0,4.1,1.64,0,2.46,0,0,0,0.82,0,16.42,0.82,0,4.1,39.4,1.64,8.21,8.21,0,0,16.42,0,0,1.64,14.78,0,0,11.49,0,0
 36-46,0,0,0,0,16.92,0,0,2.42,0.81,6.45,1.61,0,3.22,0,2.42,0,0,0,4.03,0,38.67,0,0.81,6.45,25.78,3.22,6.45,6.45,0,0,12.09,0,0,0,9.67,0,0,8.86,0,0
 48-58,0,0,0.57,0,28.69,0,0,4.59,0,6.31,2.87,0.57,2.3,0.57,4.59,0,1.72,0.57,3.44,1.15,65.99,1.72,0.57,3.44,15.49,0,3.44,11.48,0,0,9.75,0,0.57,0,13.2,0,0,8.61,0,0.57
 60-70,0,0,0,0.98,26.5,0.98,0,4.91,0,15.7,3.93,10.8,4.91,0,2.94,0,3.93,1.96,3.93,0,98.15,0.98,3.93,3.93,31.41,0,4.91,5.89,0,0,6.87,0,0,0,5.89,0,1.96,10.8,0,0.98
 72-82,0,0,0,0,29.45,0.98,0,6.87,0.98,7.85,4.91,15.71,9.82,0,8.83,0,3.93,0.98,2.94,0.98,127.62,0,12.76,4.91,28.47,0.98,2.94,8.83,0,0,6.87,0,0,0,7.85,1.96,2.94,15.71,2.94,0
 84-94,1.06,0,2.12,1.06,32.92,0,0,8.5,0,30.8,1.06,14.87,20.18,0,7.43,1.06,4.25,2.12,4.25,1.06,96.65,1.06,11.68,5.31,16.99,1.06,7.43,14.87,0,1.06,30.8,0,0,0,0,6.37,1.06,8.5,1.06,1.06
 96-106,0,0,0,0,41.53,2.19,1.09,7.65,0,15.3,3.28,10.93,9.84,0,7.65,2.19,1.09,2.19,8.74,2.19,89.61,3.28,7.65,6.56,19.67,0,12.02,4.37,0,3.28,24.04,0,0,0,2.19,6.56,1.09,22.95,7.65,1.09
108-118,0,0,0,0.77,48.26,0,0.77,3.83,0,36,0.77,11.49,22.21,0,3.83,3.06,2.3,4.6,10.72,1.53,82.72,1.53,8.43,2.3,19.15,1.53,6.89,18.38,0,0.77,20.68,0,3.06,0,1.53,3.06,1.53,9.19,1.53,0.77
120,0,0,0,0,52.91,0,0,5.88,0,35.28,3.92,15.68,29.4,0,3.92,0,5.88,3.92,9.8,1.96,105.83,0,11.76,1.96,37.24,3.92,21.56,13.72,0,1.96,9.8,0,0,0,1.96,3.92,1.96,31.36,13.72,1.96
