stage,axial,blastomeres,endoderm,eye,fin.epithelia,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0
  7-9,7.89,0,2.63,0,0,0,2.63,0,0,44.69,21.03,65.72,0,2.63,0,0,0,0
 10-12,0,6.29,3.15,3.15,0,0,0,0,0,138.47,12.59,72.38,0,0,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,2
 24-34,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
