stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,8,3,0,2,0,0,0,3,1,0,0,0,0,0,0,2,0,0,1,45,0,0,0,1,0,1,5,0,1,9,17,0,0,0,0
 24-34,0,0.82,3.28,0,0,9.85,0,0,0,4.1,0,0,0.82,1.64,0,0,0,8.21,0,0,7.39,105.07,0,1.64,0.82,0,0.82,4.1,0,0,0,0.82,23.8,0,2.46,0,0
 36-46,0,0,1.61,0,0,16.11,0,0,0.81,5.64,0,0,0,0,0,0,0,8.06,0,0.81,4.03,78.96,1.61,0,1.61,0,0,4.83,0,0,0,0,26.59,0,0,0,0
 48-58,0,0,2.87,0,0,24.67,0.57,0,0.57,8.03,0,0.57,0,0,0,0,0,10.33,1.15,0,0.57,76.32,0,0,0.57,0,0,1.15,0,0,0,0,15.49,0,0,0,0
 60-70,0,0,1.96,0,0,40.24,0,0.98,0,9.82,0.98,0.98,1.96,0,0,0,0.98,14.72,0,1.96,0.98,70.67,0,0,0,0,0,2.94,0,0,0.98,0,16.69,0,0,0,0
 72-82,1.96,0,1.96,0.98,0,32.39,0,0,2.94,6.87,0,0,0,0,0,0,0,10.8,0,0,0.98,54.97,0,0,0,0,0,3.93,0,0,0,0,7.85,1.96,1.96,0,0
 84-94,0,0,2.12,2.12,0,20.18,0,0,1.06,5.31,0,0,1.06,0,3.19,0,0,11.68,0,0,1.06,23.36,0,0,1.06,0,0,8.5,0,0,0,0,5.31,1.06,0,1.06,0
 96-106,0,0,1.09,0,0,19.67,0,0,1.09,5.46,0,0,2.19,0,0,2.19,1.09,14.21,0,0,2.19,26.23,0,1.09,2.19,0,0,12.02,0,0,0,0,2.19,0,4.37,1.09,1.09
108-118,0,0,3.06,0.77,1.53,15.32,0,0,1.53,4.6,2.3,0,1.53,0.77,0.77,0.77,0,8.43,0.77,0,0.77,25.28,0,0.77,1.53,0,0.77,6.89,0,0,0,0,1.53,0.77,2.3,0.77,0
120,0,0,5.88,0,0,11.76,0,1.96,0,1.96,3.92,0,5.88,0,1.96,1.96,0,11.76,0,0,1.96,25.48,0,0,0,0,0,1.96,0,1.96,0,0,0,0,3.92,0,0
