stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,15.77,0,0,21.03,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,231.33,0,0,0,94.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,9.44,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,242.32,3.15,0,0,103.85,0,0,0,12.59,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,22,2,16,0,0,0,10,0,0,0,0,1,0,0,0,0,28,0,0,28,357,0,3,2,8,0,3,7,0,22,95,0,0,0,0,0
 24-34,0,0,0,0.82,9.03,0,95.22,0,0,0,9.85,0,0,0,0,0.82,2.46,0.82,0,0,109.99,0,0,59.92,832.35,0.82,4.93,3.28,0,0.82,4.93,0,0,2.46,159.25,0,0,4.93,0,1.64
 36-46,0,0,0,0,7.25,0.81,238.48,0,0,1.61,12.09,0,0,0,0,0,2.42,0,0,0,128.1,0,2.42,37.87,632.45,2.42,7.25,0.81,0,0,2.42,0,0,0,128.1,0,0,2.42,0,1.61
 48-58,0,0,0,0,5.16,0.57,242.15,0,2.3,3.44,33.85,0,0,0,0.57,0,1.72,0,0,0.57,161.81,0.57,2.87,28.69,356.33,0.57,1.15,0.57,0,0,0,0,0,0,48.2,0,0,4.02,0,2.87
 60-70,0,0,0,0,3.93,0.98,159.01,0,0,1.96,42.21,1.96,0,0,3.93,0,0,1.96,1.96,0,112.88,0,4.91,20.61,217.9,0,0.98,0,0,0,4.91,0,0.98,0,21.59,0,0,2.94,2.94,0
 72-82,0,0,0.98,0,4.91,0,71.66,0,0.98,2.94,45.16,1.96,0,0.98,1.96,1.96,0,0,0,0,137.43,0,2.94,27.49,177.68,0,2.94,3.93,0,1.96,0.98,0,0,0,1.96,0,0,4.91,0,0
 84-94,0,0,1.06,0,7.43,0,63.72,0,0,1.06,28.68,2.12,0,0,2.12,1.06,1.06,0,0,0,95.58,0,6.37,22.3,129.57,0,3.19,0,0,0,5.31,0,0,0,4.25,1.06,0,1.06,0,0
 96-106,0,0,0,0,5.46,0,43.71,1.09,0,0,34.97,5.46,0,0,2.19,1.09,0,1.09,2.19,0,57.92,0,0,10.93,96.17,0,0,1.09,0,0,3.28,0,1.09,0,1.09,1.09,1.09,5.46,1.09,1.09
108-118,0,0,0,0,5.36,0,37.53,0,0,4.6,24.51,2.3,0,0,6.89,0.77,1.53,0.77,2.3,0,39.83,0,2.3,15.32,124.85,0,1.53,0.77,0,0,1.53,0,0,0,3.06,0,0,2.3,0,0
120,0,0,0,0,9.8,0,48.99,1.96,0,0,41.16,3.92,0,1.96,0,0,0,0,3.92,0,37.24,0,0,11.76,88.19,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,1.96
