stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,2,9,0,0,0,0,0,0,1,0,1,44,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,9.85,0,0,2.46,71.41,0,0,0,0,0,0,0,0,17.24,0,0,3.28,119.02,2.46,0.82,0,0,0,0,0,0.82,0.82,173.2,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,6.45,0,0,0,85.4,0,0,0,0,0,0,0,0.81,5.64,0,0,3.22,223.98,0.81,0,0,0,0,2.42,0,0,2.42,157.91,0,0,0,0,1.61
 48-58,0,0,0,0,5.16,0,0,18.36,0,0,1.15,72.3,0,0.57,0.57,0.57,0,0.57,0.57,0,9.75,0,0,1.72,438.39,1.72,0,0,0,0,0.57,0,1.15,0.57,164.11,0,0.57,0,0,0
 60-70,0,0,0,0,3.93,0,0,46.13,0,0.98,1.96,26.5,0,0,0,0,0,0,0,0,19.63,0,2.94,1.96,584.01,0.98,0,0,0,0,2.94,0,1.96,0.98,208.08,0,5.89,0,0,0.98
 72-82,0,0,0.98,0,8.83,0,0,153.14,0.98,0,1.96,40.25,1.96,0,0,0,0,0,5.89,0.98,40.25,0,2.94,4.91,835.39,0,0,0.98,0,0.98,0.98,0,3.93,0,155.1,0.98,7.85,1.96,1.96,2.94
 84-94,0,0,0,0,14.87,3.19,0,132.75,2.12,0,1.06,20.18,3.19,0,0,0,1.06,0,1.06,0,54.16,0,2.12,8.5,430.13,0,0,7.43,0,0,2.12,0,3.19,0,117.89,0,11.68,0,0,0
 96-106,0,0,2.19,0,10.93,2.19,0,160.65,4.37,0,1.09,18.58,4.37,0,0,1.09,0,1.09,1.09,2.19,39.34,1.09,1.09,6.56,429.49,0,1.09,9.84,0,1.09,3.28,0,1.09,0,75.41,0,10.93,2.19,3.28,1.09
108-118,0,0,0,0,10.72,0.77,0,158.55,0.77,0,1.53,19.92,6.13,0,0.77,0,0,0.77,2.3,0,24.51,0,0.77,5.36,504.77,0,0,10.72,0,0.77,0.77,0,4.6,0,49.79,0,3.83,1.53,4.6,0.77
120,0,0,0,0,9.8,5.88,1.96,152.86,3.92,3.92,1.96,29.4,7.84,0,1.96,1.96,0,0,0,0,39.2,1.96,1.96,3.92,944.62,0,1.96,15.68,0,0,3.92,0,3.92,0,72.51,1.96,1.96,1.96,0,0
