stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,18.4,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,11,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,4.1,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,0,0,0,22.16,0.82,0,0,0,0,1.64,0,2.46,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0.81,0,0,0.81,0.81,0,0,37.06,0,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0.57,0,0,4.02,0,0.57,0,0,0,0.57,0,0,0,0.57,1.15,0,0,35,0.57,0,0,0,0.57,0.57,0,0,1.15,0,0,0,0
 60-70,0,0,0,0.98,0,0,19.63,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0,38.28,0,0,0,0,0,0,0,0,5.89,0,0,0,0
 72-82,0,0,0.98,0.98,0,0,28.47,0,0.98,3.93,0,0,0,0,0,0,0,1.96,0,0.98,97.18,0.98,0,0.98,0,0,0.98,0,0,5.89,0.98,0.98,0,0.98
 84-94,0,0,0,0,0,0,21.24,0,0,7.43,1.06,0,0,0,0,0,0,0,1.06,0,63.72,1.06,0,0,0,0,3.19,0,0,2.12,0,0,1.06,0
 96-106,0,0,0,5.46,1.09,1.09,22.95,0,0,4.37,0,0,1.09,0,0,1.09,0,3.28,1.09,0,88.52,1.09,1.09,0,0,0,0,0,1.09,3.28,0,0,0,0
108-118,0,0,0,0.77,1.53,0,27.57,0.77,0,8.43,0.77,0,1.53,0,0.77,0,0,3.06,0,0.77,89.62,0,0,0,0,0,0,0,0,1.53,0,0.77,0,0
120,0,0,0,1.96,0,0,35.28,0,0,7.84,0,0,0,0,0,0,0,0,0,0,170.5,0,0,0,0,0,1.96,0,0,0,0,0,0,0
