stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,790.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,12.26,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,34.17,18.4,0,31.54,0,0,52.57,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,559.92,28.92,0,0,312.82,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,37.76,0,3.15,53.5,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,525.54,28.32,0,0,267.49,0,0,6.29,0,15.73,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,25,4,5,0,0,1,1,0,0,0,2,0,0,0,0,6,0,0,5,118,4,0,1,6,0,0,0,21,3,14,38,0,0,2,0,0
 24-34,0,0,0,0,7.39,0,24.63,0.82,0.82,6.57,1.64,0,1.64,0,4.1,0,0.82,0.82,0,11.49,0.82,0,6.57,280.73,3.28,4.93,4.1,0,0,2.46,0,0.82,0,4.1,68.13,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,44.31,0.81,0,12.09,0,0,0,0,0,0,0,0.81,0,20.95,0,0,7.25,337.58,0.81,2.42,2.42,0,0.81,4.83,0,0,0,0,73.32,0,0,0.81,0,0.81
 48-58,0,0,0,0,2.3,0,86.64,0,0.57,20.66,0,0,0,0,0.57,0,0.57,0,0.57,27.54,1.15,0.57,1.72,224.36,0,2.3,0,0,0,0.57,0,0,0,0,49.35,0,0,1.15,0,1.15
 60-70,0,0,0,0,2.94,0.98,153.12,0.98,0.98,19.63,0,0,0,0,0,0,0,0,0,15.7,0,0.98,4.91,223.79,0,0.98,1.96,0,0,2.94,0,0,0,0,30.43,0,0.98,0,0,0
 72-82,0,0,0,0.98,3.93,0.98,106.02,0,0.98,12.76,0,0,0,0,0.98,0,0,0,0,48.1,0,2.94,2.94,184.55,0.98,0.98,0,0,0,2.94,0,0,0.98,0,15.71,1.96,2.94,1.96,0,0.98
 84-94,0,0,0,0,3.19,1.06,74.34,1.06,1.06,11.68,1.06,0,0,1.06,0,0,3.19,0,1.06,30.8,0,3.19,5.31,96.65,0,1.06,0,0,0,3.19,0,0,1.06,0,12.74,0,0,1.06,2.12,0
 96-106,0,0,1.09,0,4.37,1.09,31.69,1.09,0,9.84,0,0,0,1.09,1.09,2.19,1.09,0,0,25.14,0,0,3.28,64.48,1.09,2.19,1.09,0,0,4.37,0,0,0,0,4.37,0,1.09,1.09,1.09,1.09
108-118,0,0,0,0,3.06,3.83,38.3,0.77,2.3,6.13,2.3,0,0.77,0,0.77,1.53,0.77,0,0,14.55,0,0,1.53,58.21,0,1.53,0.77,0,0,0.77,0,0,0,0,2.3,0,0,2.3,0,0.77
120,0,0,0,0,7.84,0,17.64,1.96,0,5.88,0,0,0,3.92,1.96,0,0,0,0,13.72,0,0,0,68.59,0,1.96,1.96,0,0,3.92,0,0,0,0,1.96,0,0,3.92,0,0
