stage,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1,1,2,0,2,2,0,0,0
 24-34,0.82,1.64,2.46,0,0,0,1.64,0,0.82,0,0,0,0,0,3.28,0,0,1.64,26.27,0,0,0,0.82,0,0,0,0.82,11.49,0.82,0,0
 36-46,0,1.61,6.45,0,0.81,0.81,1.61,0,0,0,0,0,0.81,0,8.06,0,0,0.81,37.06,0.81,0,0.81,1.61,0,0,0,0,13.7,0.81,0,0
 48-58,0,0,8.03,0,0,0,0.57,0,0,0,0,0,0,1.15,6.31,0,0.57,0.57,20.66,0,0,0.57,0,0,0,0.57,0,4.02,0,0,0.57
 60-70,0,1.96,19.63,0,0,0.98,4.91,0,0.98,0.98,0,0,0.98,0,14.72,0.98,0,1.96,47.11,0,0,0,0,0,0,0,0,8.83,0.98,0.98,0
 72-82,0,0,9.82,0,0.98,0.98,4.91,0.98,0,0,0,0.98,0.98,0,11.78,0,1.96,0,19.63,0,0,0,0.98,0,0,0,0,1.96,1.96,1.96,0
 84-94,0,1.06,10.62,0,0,0,2.12,1.06,0,1.06,0,0,0,0,4.25,0,0,0,12.74,0,0,1.06,1.06,0,0,0,0,0,2.12,1.06,0
 96-106,0,0,6.56,0,0,2.19,4.37,1.09,0,0,0,0,0,0,5.46,0,0,0,13.11,0,0,1.09,0,0,0,0,0,0,1.09,0,1.09
108-118,0,2.3,9.96,0.77,0.77,0.77,3.83,0.77,0,0.77,0.77,0.77,0,0,14.55,0,0,1.53,16.09,0,0,0,0,0,0,0,0,0.77,2.3,0,0
120,0,3.92,7.84,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,13.72,0,1.96,1.96,1.96,0,0,0,0,0,1.96,0,0
