stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,1,4,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,0,0,11.49,0,0,0,0,0,59.1,0,0,2.46,0,0,4.93,0,0
 36-46,0,0,0,0,0.81,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,6.45,0,0,0,0,0,40.28,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,59.68,0,0.57,0.57,0.57,0,0,0,0,0.57,0,0,0,0,1.15,1.15,0,0,14.92,0,0,0.57,0,0,40.17,0,0,2.87,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,0,797.98,0,0,0.98,3.93,0,0.98,0,0,0,0,0,0,0,3.93,0.98,0,0,23.56,0,0,0,0,0,19.63,0,0,3.93,0,0,2.94,0,0
 72-82,0,0,0,0,14.72,1.96,0,1873.01,0.98,2.94,7.85,66.75,0.98,0,0.98,1.96,1.96,0,0.98,0.98,0.98,27.49,1.96,2.94,1.96,136.45,0,1.96,0.98,0,0,9.82,0,0,4.91,0,0.98,2.94,2.94,2.94
 84-94,0,0,1.06,0,19.12,3.19,0,1024.87,0,2.12,2.12,50.98,3.19,0,0,1.06,0,1.06,0,1.06,1.06,23.36,0,0,3.19,97.71,0,0,1.06,0,0,12.74,0,0,6.37,0,2.12,6.37,3.19,0
 96-106,1.09,0,2.19,0,24.04,2.19,0,1230.55,1.09,3.28,5.46,53.55,1.09,0,2.19,4.37,0,1.09,0,2.19,0,31.69,2.19,1.09,2.19,88.52,2.19,1.09,0,0,1.09,8.74,1.09,0,3.28,0,1.09,3.28,2.19,2.19
108-118,0,0,0,0,7.66,4.6,0.77,786.64,0.77,0,2.3,19.15,2.3,0,0.77,3.06,0.77,2.3,0,1.53,0.77,26.04,1.53,2.3,1.53,67.4,2.3,0.77,0,0,0,6.13,0.77,0,1.53,0.77,0.77,1.53,1.53,0
120,0,0,0,1.96,7.84,1.96,0,495.83,0,0,1.96,27.44,1.96,0,0,1.96,1.96,1.96,1.96,0,0,13.72,0,1.96,3.92,97.99,0,1.96,5.88,0,0,9.8,0,0,0,0,1.96,0,0,0
