stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,1,0,0,0,0
 24-34,0,1.64,0,0,3.28,0.82,0.82,0,0,0,0,0.82,2.46,10.67,2.46,0,0,0,0,0,4.93,0,0.82,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,3.22,0,6.45,1.61,0,0,0.81,0,0,2.42,0,0.81,0,0
 48-58,0,0,0,0,6.31,1.72,0,0,0,0,0,0.57,0,13.77,0.57,0,0,0.57,0,0,2.87,0,0.57,0,0
 60-70,0,0.98,0,0,5.89,0.98,0,0,0,0,0,0.98,0,4.91,3.93,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,6.87,0.98,0,0,0,0,0,3.93,0,12.76,1.96,0,0,0,0,0,0.98,0,0,0.98,0.98
 84-94,0,1.06,0,0,3.19,1.06,0,0,0,0,0,3.19,1.06,4.25,3.19,1.06,0,2.12,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,0,3.28,1.09,0,0,0,1.09,2.19,2.19,1.09,8.74,5.46,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0.77,0,0.77,2.3,0,0,0,0.77,0,0,3.06,0,6.13,1.53,0,0,2.3,0,0,0.77,0,0.77,0,0
120,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,9.8,0,1.96,0,0,0,0,0,1.96,0,0,0
