stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,73.6,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,56.65,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,1,0,1,1,0,0,0,1,0,0,5,0,0,5,76,0,0,0,0,0,1,4,0,2,26,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,2.46,0,0,1.64,0,0,0,0,0,0,9.03,0,0,0.82,216.71,0.82,4.1,0,0,0,0.82,0,0,0,45.97,0,0,0.82,0
 36-46,0,0,0,0,0.81,0.81,12.89,0,0,8.86,0,0.81,0,0,0,0,13.7,0,0,1.61,286.01,0.81,4.03,0,0,0,0.81,0,0,0,41.09,0,0,0.81,0
 48-58,0,0,0,0,2.3,0.57,26.4,0,0,13.77,0,0,0,0,0.57,0,15.49,0,0.57,1.15,278.3,0,1.72,0.57,0,0.57,0,0,0,0,37.87,0,0,1.15,0
 60-70,0,0,0,0,0,0,49.08,0.98,0,6.87,0,0,0,0.98,0,0,19.63,0,0,0.98,268.94,0,1.96,0,0,0,0,0,0.98,0,37.3,0,0.98,0,0
 72-82,0,0,0,0,0.98,0.98,73.62,0,0.98,15.71,0,0,0,0,0,0,10.8,0,0.98,0,273.88,0,8.83,0.98,0,0,0.98,0,0,0,23.56,0,1.96,1.96,0
 84-94,0,0,0,0,3.19,0,40.36,0,0,8.5,0,0,0,1.06,0,0,7.43,0,2.12,2.12,161.43,0,4.25,0,0,0,0,0,0,0,5.31,1.06,0,2.12,1.06
 96-106,0,0,1.09,0,0,0,29.51,0,0,7.65,0,0,1.09,0,0,1.09,9.84,1.09,2.19,0,107.1,0,1.09,0,0,0,1.09,0,0,0,2.19,0,0,0,0
108-118,0,0,0,0,3.83,0.77,17.62,0,0,10.72,0,0,0,0,0,0,4.6,0,0,0,146.3,0,0.77,0,0,0,0.77,0,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,19.6,0,0,9.8,0,0,0,0,0,0,5.88,0,3.92,0,148.94,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0
