stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,1,0,0,3,1,0,0,5,0,0,0,4,5,0,28,0,65,14,55,0,0,0,0
 24-34,0,0,0,10.67,0,0,4.1,2.46,15.6,2.46,0,0,7.39,0,0,16.42,11.49,4.1,0,0,0,0,29.55,101.79,0,0,0,0
 36-46,0,0,0,0,0,1.61,1.61,12.89,7.25,0.81,0,0,20.95,0,0,29.81,10.47,0.81,0,0,0.81,0,0,125.68,0,0.81,0,0
 48-58,0,0,0,0.57,0,1.72,1.15,8.03,8.03,0,0.57,0,16.64,0,0.57,13.77,16.07,0.57,0,0,0,0.57,0,155.5,0,1.15,0,0.57
 60-70,0,0,0,0,0,5.89,1.96,8.83,11.78,0,0,0,24.54,0,0,11.78,15.7,0,0.98,0,0,0,0,183.54,0,0,0,0
 72-82,0,0,0,0,0,5.89,2.94,12.76,19.63,0.98,0.98,0,20.61,0,1.96,6.87,18.65,0,0,0,0,0,0,123.69,0.98,0,1.96,0
 84-94,0,0,1.06,2.12,1.06,13.81,6.37,8.5,13.81,2.12,0,0,19.12,0,3.19,9.56,18.05,1.06,0,0,2.12,0,0,74.34,0,1.06,1.06,1.06
 96-106,0,0,0,2.19,1.09,1.09,5.46,6.56,15.3,1.09,0,1.09,10.93,0,1.09,3.28,12.02,0,0,0,3.28,0,0,29.51,0,0,4.37,1.09
108-118,0,0,0.77,0.77,0.77,1.53,3.06,6.13,8.43,2.3,0,0,6.13,0,1.53,1.53,13.02,0,0,0,0.77,0,0,16.09,0,0,3.06,0.77
120,0,0,0,0,0,1.96,1.96,1.96,3.92,0,0,0,5.88,1.96,0,1.96,11.76,0,0,0,0,0,0,11.76,0,0,1.96,0
