stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,224.02,2477.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,312.61,4106.86,0,6.13,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,55.17,12.26,0,0,30.65,0,67.43,0,0,0,0,0,0,0,0,0,0
  7-9,63.09,44.69,0,70.98,0,0,168.24,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,1472.08,42.06,0,0,546.77,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,50.35,0,3.15,97.56,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,903.18,22.03,0,0,358.75,0,3.15,3.15,6.29,40.91,0,0,0,0,0,0,0
 14-21,0,0,0,1,25,7,9,0,0,13,2,0,0,0,0,0,0,0,0,16,0,0,14,231,2,4,2,8,0,1,2,30,4,0,14,101,0,1,0,0
 24-34,0,0,0,1.64,12.31,0.82,44.33,0.82,0,10.67,0,0,0.82,0.82,0.82,0,0.82,0.82,0,28.73,0.82,0,13.95,384.16,0,3.28,1.64,0,0,0.82,0,0,29.55,0,5.75,96.04,0,4.1,0,0
 36-46,0,0,0,0,2.42,0.81,96.68,0,0,16.11,0,0,0.81,0,0,0.81,0,0,0,33.84,0,0,10.47,434.26,0,6.45,0.81,0,0,1.61,0,0.81,17.72,0,0,78.96,0.81,1.61,0,0
 48-58,0,0,0,0,3.44,0,109.6,0,0.57,24.1,0,0,0.57,0.57,0,0,1.15,0,0,52.79,0,1.72,5.74,326.49,1.15,5.16,1.15,0,0.57,0,0,0,1.72,0,0,68.28,0,1.15,0,0.57
 60-70,0,0,0,0,0,0,133.49,0.98,0,17.67,0,0,0,0,0,0.98,0.98,0,0,53.98,0,0.98,5.89,377.89,0,4.91,0,0,0,2.94,0,0,0,0,0,35.33,0,0.98,0.98,0
 72-82,0,0,0,0,5.89,0.98,82.46,0.98,2.94,19.63,0.98,0,1.96,0,0,0,0,0,0,75.59,0,1.96,9.82,206.15,0,2.94,0.98,0,0,0.98,0,0,0,0,0,23.56,0,0.98,0.98,0
 84-94,0,0,0,0,5.31,0,101.96,0,5.31,18.05,0,0,0,0,2.12,1.06,4.25,0,0,42.48,0,2.12,5.31,113.64,0,3.19,1.06,0,0,1.06,0,0,1.06,0,0,10.62,0,3.19,1.06,0
 96-106,0,0,0,0,2.19,1.09,52.46,0,2.19,24.04,0,0,1.09,0,0,0,0,0,1.09,28.41,0,1.09,3.28,109.28,0,4.37,2.19,0,0,2.19,0,0,1.09,0,0,5.46,0,1.09,5.46,1.09
108-118,0,0,0.77,0,3.83,0.77,36,1.53,0.77,13.79,0,0,0,0,0,0.77,0.77,1.53,0,29.11,0,0,1.53,98.04,0,1.53,2.3,0,0,1.53,0,0,0.77,1.53,0,6.89,0,0.77,0.77,0
120,0,0,0,0,0,1.96,39.2,0,0,9.8,3.92,0,0,0,0,1.96,0,1.96,0,17.64,0,1.96,0,90.15,1.96,0,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0,0
