stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,70,6,0,6,0,0,0,4,0,0,0,0,0,0,0,0,14,0,16,64,12,0,0,2,0,1,5,0,3,18,20,0,0,1,0,0
 24-34,0,0,0.82,32.83,1.64,0,17.24,0.82,3.28,0.82,3.28,0,0,0,0,0,0.82,0.82,0.82,30.37,0,12.31,72.24,44.33,1.64,0.82,0,0.82,0,0,0,0,8.21,20.52,0,0,5.75,0,0
 36-46,0,0,0,15.31,0,0,11.28,1.61,0.81,0.81,12.89,0,0,0,0,0,0,0,0.81,45.92,1.61,15.31,20.14,41.89,0.81,0,0,0,0.81,0,0,0,0.81,5.64,0,0,6.45,0,0
 48-58,0,0,0,7.46,0,0,11.48,1.72,1.72,2.3,21.23,0,1.72,2.3,0,0,0,0,0,91.23,1.15,13.2,24.1,44.18,0.57,0,0,0,0.57,0,0,0,0,3.44,0,0.57,3.44,0,0
 60-70,0.98,0,0,10.8,0,0,3.93,5.89,2.94,2.94,32.39,0,0.98,3.93,0,0.98,0,0,0,137.41,1.96,11.78,14.72,25.52,0.98,0.98,0,2.94,0,0,0.98,0,0,2.94,0,0,7.85,0,0.98
 72-82,0,0,0,11.78,0,0,15.71,5.89,0,7.85,27.49,0,2.94,0.98,0,0,0,1.96,0,200.26,2.94,8.83,24.54,22.58,0.98,3.93,0,0.98,0,0,0,0,0,0.98,0,7.85,14.72,4.91,0.98
 84-94,0,0,0,16.99,0,0,18.05,4.25,6.37,3.19,21.24,0,2.12,4.25,1.06,1.06,0,0,0,151.87,1.06,8.5,6.37,39.3,0,1.06,0,1.06,1.06,0,0,0,0,1.06,1.06,2.12,8.5,1.06,0
 96-106,0,0,0,17.49,1.09,1.09,12.02,4.37,5.46,4.37,18.58,3.28,0,7.65,0,0,0,0,0,167.21,3.28,4.37,24.04,29.51,2.19,5.46,0,3.28,5.46,0,0,1.09,0,0,0,6.56,12.02,8.74,0
108-118,0,0.77,0,22.98,0.77,0,11.49,2.3,8.43,0.77,13.02,0,1.53,0.77,0,3.83,0,0,0.77,113.36,1.53,9.19,21.45,22.98,0.77,6.89,0,4.6,3.06,0,0,1.53,0,0,0,5.36,6.89,3.06,0
120,0,0,0,27.44,0,0,11.76,3.92,3.92,0,9.8,0,1.96,0,0,0,0,0,0,72.51,3.92,3.92,19.6,21.56,0,1.96,0,0,0,0,0,0,0,0,0,1.96,5.88,7.84,0
