stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,73.6,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,0,6.29,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,18.88,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,3,0,3,0,0,0,2,0,0,1,0,2,0,0,0,0,1,0,0,2,53,3,0,1,3,0,10,1,5,0,0,17,16,0,0,2,0,0
 24-34,0,0,1.64,9.85,0,0,18.06,0,0,0.82,1.64,0,0,0,2.46,0.82,0,0.82,0,0.82,18.06,0.82,0,5.75,131.34,0.82,3.28,3.28,0,0,22.16,0,0,0.82,0.82,5.75,29.55,0,0,9.85,0,0.82
 36-46,0,0.81,0,6.45,0,0,33.03,3.22,0,0.81,4.03,0,0,0.81,0,0,0,0,0.81,0,16.11,0,0,5.64,252.17,1.61,6.45,3.22,0,0,12.89,0,0,0,0.81,0,45.12,0,0,2.42,0,0.81
 48-58,0,0,0,2.3,0,0,72.3,1.72,1.72,1.72,17.21,1.15,0.57,0,0.57,1.15,0.57,0,1.15,1.15,40.74,0.57,1.15,7.46,299.53,1.15,5.16,1.72,0,0,9.18,0,0,0,0.57,0,48.2,0,0,8.03,0,4.02
 60-70,0,0.98,0,8.83,0,0,139.38,0.98,0.98,0.98,31.41,0,0,1.96,0.98,0.98,1.96,0.98,0,0.98,48.09,0,0,4.91,342.55,0,1.96,1.96,0,0.98,12.76,0,0,0.98,0,0,38.28,0,0.98,2.94,0,1.96
 72-82,0,3.93,0,6.87,6.87,0,122.71,0,1.96,1.96,32.39,2.94,0.98,0,4.91,0,0,0,0,0.98,71.66,2.94,0.98,5.89,264.07,0.98,1.96,0.98,0,1.96,9.82,0,0,0,0.98,0,22.58,0.98,0.98,8.83,4.91,0.98
 84-94,0,0,0,12.74,6.37,2.12,89.21,2.12,2.12,0,19.12,5.31,0,1.06,7.43,7.43,6.37,1.06,1.06,0,54.16,0,1.06,4.25,108.33,3.19,1.06,5.31,0,1.06,47.79,0,0,2.12,0,0,9.56,3.19,0,2.12,3.19,1.06
 96-106,0,2.19,0,16.39,5.46,1.09,62.29,0,2.19,1.09,18.58,7.65,0,2.19,6.56,5.46,4.37,1.09,1.09,2.19,29.51,0,0,3.28,111.47,1.09,7.65,5.46,0,2.19,39.34,0,0,2.19,1.09,0,7.65,0,1.09,7.65,2.19,1.09
108-118,0,0.77,0,16.09,4.6,1.53,46.72,1.53,1.53,0,20.68,6.89,0,0.77,4.6,0.77,4.6,3.06,0.77,4.6,26.81,3.06,1.53,6.89,114.89,0.77,3.83,3.83,0,0.77,26.81,0,0,1.53,1.53,0,1.53,1.53,0,6.13,0.77,3.83
120,0,0,0,17.64,1.96,0,64.67,0,1.96,0,17.64,7.84,0,1.96,15.68,9.8,0,0,1.96,0,19.6,1.96,0,1.96,146.98,1.96,0,3.92,0,0,25.48,0,0,5.88,0,0,3.92,3.92,0,5.88,0,1.96
