stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,563.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,15.77,21.03,0,0,23.66,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,402.19,10.51,0,0,157.72,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,12.59,0,3.15,78.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.75,15.73,0,0,144.76,0,3.15,3.15,0,15.73,3.15,0,0,0,0,0,0
 14-21,0,1,3,20,3,22,0,0,0,10,0,0,0,0,2,0,0,0,14,0,0,19,290,10,2,1,10,0,10,0,12,2,13,92,0,0,2,0,0
 24-34,0,0,0,10.67,2.46,70.59,0,0,0.82,7.39,0.82,0,0,0,0.82,0,0.82,0,34.48,0,1.64,15.6,403.04,0,0,2.46,0,0,16.42,0,0.82,0.82,0.82,76.34,0,0,7.39,0,0
 36-46,0,0,0,2.42,1.61,113.6,0,0.81,0,6.45,0,0,0.81,0.81,0,0.81,0,0,24.17,0.81,0.81,8.06,169.19,0,2.42,0.81,0,0,10.47,0,0,0,0,37.06,0,0,3.22,0,0.81
 48-58,0,0,0,4.02,0,84.35,0,0,0,6.89,0,0,0,1.72,0,0,1.15,0,26.4,0,0.57,5.74,63.12,0.57,0,0.57,0,0,3.44,0,0,0,0,10.9,0,0,1.72,0,1.15
 60-70,0,0,0,3.93,1.96,71.65,0,0,0,7.85,1.96,0,0,0,0,0,1.96,0,27.48,0,0,2.94,37.3,0.98,0.98,0.98,0,0.98,1.96,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,6.87,0.98,26.5,0,0,0,13.74,0,0,2.94,2.94,1.96,0,0,0.98,46.14,0,0,3.93,41.23,0,0,0,0,0.98,2.94,0,0,0,0,1.96,0.98,0,5.89,0.98,0.98
 84-94,0,0,0,6.37,1.06,20.18,0,0,2.12,10.62,2.12,0,0,4.25,3.19,0,0,0,26.55,0,4.25,5.31,30.8,0,0,1.06,0,0,3.19,0,0,0,0,1.06,0,0,5.31,0,0
 96-106,0,0,0,7.65,3.28,14.21,1.09,0,0,9.84,1.09,0,1.09,5.46,0,1.09,0,2.19,31.69,0,1.09,5.46,19.67,0,1.09,0,0,0,6.56,0,0,0,0,1.09,0,1.09,4.37,0,0
108-118,0,0,0,10.72,1.53,20.68,0,0,1.53,8.43,2.3,0,1.53,5.36,0.77,1.53,0,0.77,15.32,0,0,1.53,32.94,0,1.53,0.77,0,0,6.89,0,0,0.77,0,1.53,0.77,0,2.3,1.53,0
120,0,0,0,5.88,3.92,13.72,0,1.96,0,13.72,0,0,0,5.88,0,0,0,0,19.6,0,0,5.88,25.48,0,0,1.96,0,0,7.84,0,0,0,0,0,0,0,1.96,0,0
