stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,7.89,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,1,0,0,16,0,2,0,2,4,3,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,1.64,3.28,0,0,1.64,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0,2.42,0.81,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0.57,0,0,0,0,0,1.15,0,0,3.44,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0.98,0.98,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,0,1.06,0,0,1.06,0,0,2.12,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,1.09,1.09,0,1.09,0,0,0,0,1.09
108-118,0,0,0.77,0,1.53,1.53,0,0,0.77,0.77,0.77,1.53,0.77,0,3.06,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0
