stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.12,7.89,0,0,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,6,0,5,0,0,0,3,0,1,0,0,0,0,0,0,4,0,3,87,0,0,1,1,0,1,2,1,24,0,0,1,0,0
 24-34,0,0,0,0.82,2.46,0,0,4.93,0,0.82,0,0.82,0,0,0,0,0,0.82,0,0.82,1.64,0,3.28,125.59,0,0.82,2.46,0,0,0,0,0.82,29.55,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,0,4.03,0,0,0.81,3.22,0,0,0,0,0,0,0,0,7.25,0,1.61,232.03,0,3.22,0,0,0,0,0,0,50.76,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,13.2,0,0,0,9.75,0,0,0,0,0,0,0,0,5.74,0,0.57,244.44,0,0.57,0,0,0,0,0,0,60.82,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,0,53,0,0,0.98,20.61,0,0,0.98,0,0,0,0,0,13.74,0,0.98,393.59,0.98,0.98,2.94,0,0,0,0,0,76.56,0,0,0,0,0.98
 72-82,0,0,0.98,0,4.91,0.98,0,101.11,0,0,0.98,27.49,2.94,0,0,1.96,0,0,0,0,36.32,0,2.94,330.82,0,1.96,1.96,0,0.98,0,0,0,50.06,0,0.98,0,0,0
 84-94,0,0,0,0,4.25,1.06,0,74.34,0,0,0,26.55,0,0,0,1.06,1.06,0,0,0,19.12,0,3.19,169.93,0,2.12,2.12,0,0,0,0,0,26.55,0,2.12,1.06,1.06,1.06
 96-106,0,0,1.09,0,4.37,0,0,53.55,0,0,0,27.32,0,0,2.19,1.09,0,1.09,3.28,0,27.32,1.09,2.19,171.58,1.09,2.19,4.37,0,0,0,0,0,6.56,0,0,1.09,2.19,0
108-118,0,0,0.77,0,3.06,0,0.77,58.21,0.77,0,1.53,14.55,1.53,0,0,0,0,0,0.77,0,20.68,0.77,0,123.32,0,0.77,2.3,0,0,0,0,0,5.36,0.77,0,0,0.77,0
120,0,0,0,0,3.92,1.96,0,47.03,0,0,3.92,23.52,0,0,0,0,0,0,0,0,21.56,0,3.92,164.62,0,3.92,0,0,0,0,0,0,15.68,0,0,1.96,0,0
