stage,epidermis,erythrocytes,eye,fin.epithelia,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord
 14-21,4,1,0,0,0,0,1,0,2,1,2,0,1,0,4,1,1
 24-34,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82
 36-46,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0.57,0,0,0,0,0,0,0.57,0.57,0,1.15,0,0,0,0,0,0
 60-70,0.98,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,1.06,0,2.12,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,2.19,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0
