stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,18.06,0,0,0,4.1,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,19.34,0,0,0,6.45,0,0,0,0,0,0.81,0,0
 48-58,0,0,1.72,0,0.57,0,0,12.62,0.57,0,0,17.79,0,0,0,0,0,1.15,0,0
 60-70,0,0,25.52,0,2.94,0,0,9.82,0,0,0,50.06,0,0.98,0,0,0,1.96,0,0
 72-82,0,0.98,87.37,0,6.87,0.98,0,11.78,0.98,0,0.98,121.73,0,0,0,0,0,1.96,0,0
 84-94,0,0,43.54,0,2.12,1.06,0,23.36,1.06,0,0,74.34,0,0,0,0,3.19,2.12,0,1.06
 96-106,0,1.09,48.09,0,5.46,3.28,0,16.39,1.09,0,0,64.48,0,0,0,0,2.19,2.19,1.09,2.19
108-118,0,2.3,46.72,0,5.36,1.53,0,22.21,0.77,0,0,110.3,0,0,0.77,0,0,0,0.77,3.83
120,0,0,37.24,1.96,1.96,3.92,0,7.84,0,1.96,0,160.7,0,1.96,0,0,0,1.96,0,0
