stage,blastomeres,eye,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,36.8,2.63,10.51,0,0,0
 10-12,3.15,3.15,3.15,0,28.32,0,12.59,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,3.22,0,0,0,0.81,0
 48-58,0,1.15,0,1.72,5.74,0,0,0,0.57,0.57
 60-70,0,0,0,0.98,0.98,0,0,0,0,0
 84-94,0,3.19,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0,0,0.77,0,0
