stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,44.06,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,67,0,0,2,1,3
 24-34,0,0.82,0,4.1,0,0,0,0,0,260.21,0,0.82,0,19.7,13.13
 36-46,0,0,0,2.42,0,8.86,0,0,0.81,130.52,0,0,0,13.7,8.06
 48-58,0,0,0,1.15,0,13.2,0,0.57,0,25.25,0,0,0,4.59,6.31
 60-70,0,0,0,0,0.98,11.78,0,1.96,0,7.85,0,0,0,0.98,1.96
 72-82,0,0,0,0,0,33.38,0,0,0,6.87,0,0,0,0,2.94
 84-94,0,0,0,0,0,9.56,0,0,0,4.25,0,0,0,0,3.19
 96-106,0,2.19,0,3.28,0,24.04,0,1.09,0,6.56,0,0,0,0,3.28
108-118,0,0,0,1.53,0,19.15,0.77,0,0,8.43,0,0,0,0,4.6
120,0,0,0,1.96,0,21.56,0,1.96,0,13.72,0,0,0,0,3.92
