stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  7-9,0,13.14,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,9,0,0,0,0,4,0,0,0,0,0,4,0,0,2,15,1,0,0,3,0,0,2,0,15,0,0,1,0
 24-34,0,0.82,6.57,0.82,2.46,0,0,0,0,0,4.1,0,0.82,0,6.57,0,0,4.1,87.83,0,4.1,0,0,0,4.1,0,0.82,60.74,0,0,8.21,0
 36-46,0,0,2.42,0.81,3.22,0,0,0.81,0,0,2.42,0,0,0,3.22,0,0,3.22,232.03,0,0.81,0,0,0,1.61,0,0,45.92,0,0,6.45,0
 48-58,0,0,0,0,25.25,0,0.57,2.3,0,0,1.15,0.57,1.15,0,6.89,0,1.15,1.15,317.31,0,2.87,0.57,0,0,1.72,0,0,37.87,0,0.57,8.03,0
 60-70,0,0,1.96,0,77.54,0,0,0,0,0,0.98,0.98,0.98,0,6.87,0.98,0,0.98,441.68,0.98,3.93,0.98,0,0,0.98,0,0,58.89,0,0,0.98,0
 72-82,1.96,0,2.94,0,112.89,0,0,10.8,0,0,1.96,1.96,0.98,0.98,19.63,0,1.96,0,443.71,0,3.93,1.96,0,1.96,0.98,0,0,42.21,0,0.98,11.78,1.96
 84-94,1.06,0,9.56,2.12,96.65,1.06,1.06,5.31,0,0,1.06,2.12,5.31,0,12.74,0,4.25,1.06,216.66,0,1.06,0,0,1.06,0,0,0,20.18,0,0,11.68,1.06
 96-106,0,0,7.65,0,86.33,0,1.09,16.39,1.09,0,1.09,1.09,2.19,1.09,12.02,0,1.09,0,212.01,0,1.09,1.09,0,2.19,3.28,0,0,13.11,0,0,4.37,3.28
108-118,0.77,0,3.06,0.77,62.04,0,0,15.32,0,0,1.53,1.53,4.6,0,4.6,0.77,0,0,226.73,0,0,3.06,0,0.77,1.53,0,0,8.43,0.77,0.77,7.66,0.77
120,0,0,11.76,1.96,74.47,1.96,0,19.6,0,0,0,0,3.92,0,19.6,0,0,1.96,305.73,0,7.84,1.96,0,0,1.96,0,0,7.84,0,1.96,3.92,1.96
