stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,61.3,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,18.39,12.26,0,0,0,0
  7-9,7.89,5.26,7.89,0,2.63,0,0,15.77,0,0,0,0,0,0,0,21.03,7.89,0,0,86.75,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,28.32,0,0,3.15,0,0
 14-21,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,1,7,0,1,1
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,17.24,0,0,0,0,0,0,1.64,0,9.03
 36-46,0,0,0,0,3.22,0,0.81,0,0,0.81,0,0,0.81,0,0,12.09,0,0,0,0,0.81,0,0.81,0,0.81
 48-58,0,0,0,0,2.87,0,0.57,0,0,0.57,0,0,0,0,0,10.33,0,0,0,0,1.15,0,1.15,0,0.57
 60-70,0,0,0,0,2.94,0,0.98,0,0,0,0,0,0,0,0,8.83,0,0.98,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0,3.93,0.98,1.96,0,0,0,0,0,0.98,0,0,4.91,0,0,0,0,3.93,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,2.12,0,0,1.06,0,0,1.06,0,0,2.12,0,0,1.06,0,2.12,0,0,0,0
 96-106,0,0,0,0,1.09,0,2.19,0,0,1.09,0,0,1.09,0,0,5.46,0,0,2.19,0,3.28,0,1.09,0,1.09
108-118,0,0,0,1.53,2.3,0.77,0,0,0,0.77,0,0,0,0,0,7.66,0,0,0,0,0,0,0.77,0,1.53
120,0,0,0,0,1.96,0,3.92,0,1.96,3.92,1.96,0,0,1.96,0,5.88,0,3.92,0,0,1.96,0,0,0,0
