stage,endocrine.pancreas,epidermis,eye,glial,gut,immune,iridophores,liver,mesenchyme,neural,olfactory,periderm,spinal.cord,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,5,0,0,3,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,50.07,0.82,0,9.03,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,84.6,0.81,0,9.67,0
 48-58,0,0.57,4.59,0.57,0,0,0,0,0.57,116.48,0.57,0,15.49,0
 60-70,0,0,19.63,0,0,0,0,0,0,133.49,1.96,0,7.85,0
 72-82,0,0,15.71,2.94,0,0,0,0,0,151.18,0,0.98,7.85,0.98
 84-94,2.12,0,10.62,1.06,1.06,0,0,0,0,58.41,0,0,2.12,0
 96-106,0,0,13.11,2.19,0,0,1.09,1.09,1.09,55.74,1.09,0,1.09,0
108-118,0,0.77,13.79,0.77,0,0,0,0,0,57.45,1.53,0,1.53,0
120,0,0,15.68,0,1.96,1.96,0,0,0,86.23,0,0,3.92,0
