stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,2,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,757,0,0,0,0,0,1,1,0,0,139,0,0,0,0,0
 24-34,0,0,0,10.67,1.64,42.68,0,0,0.82,53.36,0.82,0,0,1.64,0.82,0.82,0,1.64,1.64,16.42,0,0,9.03,5612.19,0.82,4.1,3.28,0,0,6.57,0,0.82,3.28,945.63,0,0,3.28,0,0
 36-46,0,0,0,4.83,0,50.76,0,0.81,0.81,340.8,0,0.81,0.81,2.42,0,0.81,0,0,2.42,51.56,0.81,0.81,8.06,6044.94,1.61,0,8.86,0,0,6.45,0,3.22,0,1473.57,0,0,3.22,0,2.42
 48-58,0,0,0,18.94,1.72,143.45,1.15,1.15,0,578.97,0,0,0,1.15,0,0.57,1.15,0.57,0,134.27,0.57,1.15,4.02,3372.82,0,0.57,12.62,0,0,5.16,0,0,0,1023.67,0,0,1.72,0,1.72
 60-70,0,0,0,1.96,0,112.88,0.98,1.96,0,360.22,0,0,0,0,0.98,0.98,0,0.98,0,119.75,0,0,1.96,1745.15,0.98,1.96,6.87,0,0,1.96,0,1.96,0,266.97,0,0,0,0,0
 72-82,0,0,0,15.71,1.96,215.97,0,0,0.98,413.28,0.98,0,0,2.94,0,0.98,0,0,0,196.33,0,2.94,2.94,1706.13,0,0.98,17.67,0,0,0,0,1.96,0,101.11,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,22.3,1.06,211.35,0,2.12,1.06,237.9,0,0,1.06,3.19,0,3.19,1.06,0,0,160.37,0,3.19,3.19,1021.68,2.12,1.06,19.12,0,0,4.25,0,2.12,0,88.15,1.06,0,0,2.12,0
 96-106,0,0,0,33.88,1.09,171.58,0,2.19,3.28,266.65,2.19,0,0,6.56,0,1.09,1.09,0,1.09,139.88,1.09,3.28,3.28,828.38,0,1.09,18.58,0,0,2.19,0,3.28,0,22.95,1.09,2.19,3.28,2.19,1.09
108-118,0,0,0,19.92,3.06,91.15,0.77,0,0.77,266.56,0,0,0,3.06,0,0,0,0.77,0,112.6,0.77,0,3.06,1197.2,0,2.3,19.92,0,0.77,3.83,0,0,0,13.02,0,0.77,0,0.77,0
120,0,0,0,29.4,0,148.94,0,1.96,1.96,278.29,0,0,0,1.96,0,0,1.96,0,0,66.63,0,1.96,5.88,1034.77,0,1.96,19.6,0,0,3.92,0,3.92,0,15.68,1.96,0,0,0,1.96
