stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,5.75,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,0,0.81,0,9.67,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,5.16,1.15,0,0,0.57,0,14.35,0,0,0,0,0,0.57,0,0
 60-70,0,0.98,0,38.28,2.94,0,0,0,0,17.67,0,0,0,0,0,1.96,0,0.98
 72-82,0,0,0,109.95,9.82,0.98,0,2.94,0.98,29.45,0,0,0,0,0,0.98,0,0
 84-94,0,2.12,0,58.41,4.25,0,0,7.43,0,7.43,0,0,0,0,0,0,1.06,0
 96-106,0,2.19,0,74.31,5.46,0,0,6.56,1.09,10.93,0,0,1.09,0,0,0,0,0
108-118,0,0,0.77,49.02,0.77,0,0.77,2.3,0,6.89,0.77,0,0,0,0.77,0.77,0,0
120,0,0,0,43.12,3.92,0,0,0,0,3.92,0,0,0,0,0,0,0,0
