stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,neural,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,0,0,0,0,0,18,0,0,1,1,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,33.66,0.82,0.82,5.75,0.82,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,8.06,1.61,0,2.42,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,2.87,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,1.96,7.85,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,4.91,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,2.12,0,0,0,0,0,4.25,13.81,0,1.06,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,6.56,2.19,3.28,1.09,5.46,0,2.19,12.02,2.19,7.65,0,7.65,6.56,0,0,1.09,1.09,0,2.19,1.09
108-118,0,3.06,0,0.77,0,0,2.3,0.77,9.19,4.6,1.53,0,1.53,0,0,0.77,0,0,0.77,0.77,0
120,0,0,0,0,0,0,0,1.96,3.92,0,0,0,1.96,1.96,0,0,0,0,0,0,0
