stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,5,1,0,1,0,0,0,0,0,0,0,7,0,0,1,0,182,0,0,87,28,8,0,0,8,0,0,4,0,0,7,4,0,0,0,0
 24-34,0,0,8.21,0.82,0,8.21,0,0,29.55,0.82,0,4.1,0,1.64,0.82,0,0.82,0,642.73,0,0,110.82,114.1,3.28,0,0,0,0,1.64,0,0.82,0,45.97,15.6,0,0,0,0.82
 36-46,0,0,1.61,0,0,8.86,0,0.81,83.79,1.61,0,5.64,0.81,0.81,0,0,0,0,779.89,0,1.61,84.6,88.62,0.81,0,0,0,0.81,0,0,0,0,0.81,11.28,0,1.61,0,0
 48-58,1.15,0,6.89,0,0,20.08,0,2.87,94.68,5.74,0.57,4.02,1.15,0,1.15,0,0,1.15,1032.85,0,0.57,74.59,79.76,0.57,0.57,1.15,0,0,1.15,0,0,0,0,11.48,0,1.72,0.57,2.87
 60-70,0.98,0,1.96,0.98,0,25.52,0.98,4.91,102.08,3.93,0,1.96,0,0,0.98,0,1.96,0.98,1175.86,0,2.94,59.87,63.8,0,0,0,0,2.94,0.98,0,0,0.98,0,3.93,1.96,0,0,0
 72-82,0,0,6.87,1.96,0.98,76.57,0.98,1.96,167.86,6.87,0,1.96,4.91,0,0.98,0.98,0,0,1467.58,0.98,1.96,83.44,49.08,0,0,0.98,0,3.93,0,0,0,0,0,2.94,5.89,0,3.93,0
 84-94,0,1.06,8.5,0,0,120.01,0,3.19,130.63,7.43,1.06,4.25,2.12,1.06,3.19,0,1.06,0,1121.51,0,3.19,49.92,27.61,0,0,1.06,0,3.19,3.19,0,2.12,0,0,2.12,8.5,4.25,4.25,0
 96-106,0,0,13.11,2.19,0,76.5,2.19,4.37,133.33,13.11,2.19,6.56,0,0,0,0,0,0,1120.17,1.09,4.37,42.62,76.5,1.09,1.09,1.09,0,5.46,4.37,0,0,0,0,0,7.65,1.09,1.09,1.09
108-118,0,0,4.6,0.77,0.77,22.21,0.77,2.3,108.77,4.6,0,3.06,3.83,0.77,0,0.77,3.06,0,934.47,0,2.3,32.17,52.09,0,0,2.3,0,3.06,2.3,0,0,0,0,1.53,3.83,0,0,0
120,0,0,9.8,3.92,0,31.36,0,0,101.91,3.92,0,3.92,0,0,0,0,0,0,693.76,0,1.96,23.52,47.03,0,0,0,0,7.84,1.96,0,0,0,0,0,1.96,1.96,0,0
