stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,4.93,0,1.64,0,0.82,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,2.42,0,0,1.61,4.03,0,0,0,0,1.61,0
 48-58,0,0.57,0.57,0,0.57,0,0.57,0,0,0,1.15,0,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,2.94,0,0,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0.98,0,0,0,4.91,0,0,0,0,0,0.98,0,0,0,0.98
 84-94,0,2.12,0,0,0,0,1.06,0,0,0,2.12,0,1.06,0,2.12,0,0,0,0,0,1.06
 96-106,1.09,0,1.09,0,0,1.09,1.09,0,0,0,0,0,0,1.09,2.19,1.09,1.09,0,0,0,0
108-118,0,1.53,0,0,1.53,0,0,1.53,0.77,0,1.53,0.77,0,1.53,1.53,0,0.77,0,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
