stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,843.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,12.26,521.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,2.63,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,86.75,7.89,0,0,42.06,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,25.18,0,6.29,0,6.29,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,1,0,1,12,0,1,1,2,0,0,7,0,1,11,0,0
 24-34,0,0,0.82,0,0.82,0,0.82,0,2.46,0,0,0,0,0,0,1.64,0,0,25.45,0,5.75,0,0,0,0,0,0.82,0.82,20.52,0.82,0
 36-46,0,0,0,0,0.81,0,6.45,0,2.42,0,0,0,0,0,0,3.22,0.81,0.81,27.39,0,2.42,2.42,0,0.81,0,0,0,0,24.98,1.61,0
 48-58,0,0,0,0,0,0,14.92,0.57,0.57,0,0,0,0.57,0,0.57,2.3,0.57,1.15,17.79,0,2.87,4.59,0,0,0,0,0.57,0,10.9,0,0
 60-70,0,0,0,0,0,0.98,13.74,0,2.94,0,0,0,0,0,0,3.93,0,0,23.56,0,0.98,1.96,0,0,0,0,0,0,6.87,0,0
 72-82,0,0,0,0,0.98,0.98,30.43,0,5.89,0,0,0.98,0,0,0,4.91,0,0.98,27.49,0,5.89,3.93,0,0,0,0,0,0,4.91,0,0.98
 84-94,0,0,0,0,1.06,0,18.05,0,2.12,2.12,0,0,0,0,1.06,2.12,1.06,3.19,13.81,0,8.5,4.25,0,1.06,0,0,0,0,2.12,1.06,1.06
 96-106,0,0,0,0,1.09,1.09,14.21,0,0,1.09,0,0,1.09,1.09,0,6.56,0,1.09,7.65,0,8.74,6.56,0,1.09,0,0,0,0,2.19,3.28,0
108-118,0,0,0,0,0,0,14.55,0,0.77,2.3,0,0,0,0.77,0,2.3,0,0.77,6.89,0,1.53,2.3,0,0,0,0,0.77,0,2.3,0.77,0
120,0,0,0,0,3.92,3.92,17.64,0,0,0,0,0,0,0,0,3.92,0,0,5.88,0,1.96,3.92,0,0,0,0,0,0,1.96,0,0
