stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,31.54,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,37.76,0,9.44,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,500.37,15.73,0,0,47.2,0,0,0,6.29,0,6.29,0,0,0,0
 14-21,0,0,15,170,38,0,63,2,0,40,20,6,1,0,0,0,4,136,0,0,120,1121,15,2,15,6,0,0,14,3,76,689,0,19,0,2
 24-34,0,0,6.57,52.53,2.46,0,82.09,4.93,1.64,74.7,8.21,4.93,0,4.1,2.46,0.82,9.03,261.85,0,0,131.34,1889.61,4.1,2.46,17.24,0,0,1.64,0,4.1,13.95,689.52,0,56.64,0,21.34
 36-46,0,0,0,8.06,0.81,0,18.53,3.22,11.28,88.62,3.22,7.25,0,0.81,0.81,0.81,8.06,281.98,0,4.83,70.09,1254.43,0.81,3.22,10.47,0,0,2.42,0,0.81,0,485.82,0,25.78,0,26.59
 48-58,0.57,0,0,3.44,0,0,21.8,1.15,8.61,114.76,0.57,6.31,0,4.02,0,1.15,11.48,323.05,0,4.59,53.36,379.29,0,0,9.75,0,1.15,0.57,0,0.57,0,250.18,1.72,22.95,0,26.97
 60-70,0,0,0,2.94,0,0,15.7,1.96,6.87,82.45,0,1.96,0,8.83,0,0,4.91,419.11,0,9.82,48.09,94.23,0,0.98,9.82,0,8.83,0.98,0,0.98,0,81.47,6.87,19.63,1.96,34.35
 72-82,0,0,0,5.89,0.98,0,33.38,0,13.74,94.24,0,8.83,0,6.87,3.93,0,0.98,542.86,0,12.76,44.17,94.24,1.96,0,17.67,0,10.8,0,0,0.98,0,30.43,17.67,41.23,13.74,24.54
 84-94,0,0,0,2.12,0,0,35.05,0,11.68,60.54,0,2.12,0,11.68,1.06,0,9.56,344.1,0,11.68,25.49,52.04,0,0,18.05,0,3.19,3.19,0,0,0,16.99,8.5,40.36,11.68,13.81
 96-106,0,0,0,2.19,0,0,24.04,0,5.46,44.81,0,7.65,0,13.11,3.28,1.09,7.65,291.79,0,8.74,29.51,65.57,0,1.09,28.41,0,19.67,0,0,0,0,12.02,9.84,32.79,7.65,16.39
108-118,0,0,0,5.36,0.77,0.77,16.85,0.77,6.89,38.3,0,7.66,0,33.7,1.53,0,3.83,252.77,0.77,8.43,19.15,54.38,0,1.53,19.92,0,13.02,1.53,0,0,0,5.36,3.83,19.92,3.06,16.85
120,0,0,0,7.84,0,0,13.72,3.92,0,31.36,0,3.92,0,17.64,0,1.96,0,154.82,0,1.96,13.72,52.91,1.96,1.96,17.64,0,5.88,0,0,0,0,3.92,3.92,23.52,1.96,5.88
