stage,epidermis,erythrocytes,exocrine_pancreas,eye,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mucous,muscle,neural,notochord,periderm,spinal_cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0
 48-58,0.57,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0
 60-70,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98
 72-82,3.93,0,0,0.98,0.98,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,18.05,0,0,0,4.25,0,1.06,1.06,0,0,0,0,1.06,0,0,0,0,0
 96-106,12.02,0,0,0,13.11,0,0,3.28,1.09,0,0,0,0,0,0,0,3.28,0
108-118,19.92,0,0.77,0,19.92,0,0,6.89,0,0,0.77,0,0.77,0,2.3,0,0.77,0
120,1.96,1.96,0,0,15.68,0,0,11.76,0,0,0,0,1.96,0,1.96,0,0,0
