stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,15.73,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,5,4,0,1,0,0,0,2,0,0,0,0,12,0,2,0,0,2,35,1,0,0,0,0,0,1,13,0,1,5,8,0,3,0,0
 24-34,0,0,2.46,0,0,0.82,0,1.64,0,0,2.46,0,0,0,0,0,5.75,0,5.75,0.82,0,4.1,36.12,0,0.82,0.82,0,0,0,0,0,0,0,0.82,13.95,0,5.75,0,0
 36-46,0,0,0,0,0,0.81,0,3.22,0,0,6.45,0,0,0,0,8.06,2.42,9.67,9.67,0,0.81,0.81,30.62,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,0.57,3.44,0,8.03,0,0.57,13.77,0,1.15,0,0,14.35,0.57,7.46,10.9,0,3.44,1.15,21.8,0,0,0,0,0,0,0,0,0,0,0,5.74,1.15,0.57,0,0
 60-70,0,0,0,0,0,0,0,10.8,0,0.98,22.58,1.96,0,0,0,51.04,0,7.85,17.67,0,3.93,2.94,20.61,0,0,0,0,0,0,0,0,0,0,0,3.93,1.96,0,4.91,0.98
 72-82,0,0,3.93,0,0.98,7.85,0,8.83,0.98,1.96,36.32,9.82,0,0.98,0,58.9,0,10.8,25.52,0,8.83,2.94,25.52,0,1.96,0,0,0.98,1.96,0,0,0,0,0,2.94,7.85,0,23.56,2.94
 84-94,0,0,4.25,0,1.06,6.37,0,9.56,0,0,29.74,10.62,0,0,0,80.71,0,28.68,19.12,0,10.62,0,8.5,0,2.12,0,0,1.06,0,0,0,0,0,0,2.12,5.31,0,36.11,8.5
 96-106,0,0,4.37,0,3.28,5.46,0,7.65,0,1.09,26.23,14.21,0,4.37,0,72.13,3.28,10.93,28.41,0,7.65,2.19,17.49,2.19,5.46,0,0,0,1.09,0,0,0,0,0,1.09,2.19,1.09,25.14,7.65
108-118,0,0,2.3,0,1.53,2.3,0.77,13.79,0,0,22.98,19.15,0,6.13,1.53,106.47,2.3,16.85,12.26,0,5.36,0.77,14.55,0,3.83,0,0,0.77,0,0,0,0,0,0,0,3.06,0,16.85,26.04
120,1.96,0,0,0,1.96,1.96,0,5.88,0,0,17.64,11.76,0,1.96,1.96,54.87,0,5.88,21.56,0,5.88,3.92,7.84,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,29.4,3.92
