stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,27,2,0,16,0,1,5,0,0,0,0,0,0,0,0,6,0,0,0,69,1,0,0,3,0,1,7,0,0,1,1,0,0,0,0,0
 24-34,0,2.46,45.15,0,1.64,80.44,1.64,1.64,1.64,0,0,0,0,0,0,0,0.82,9.03,0,0,4.93,374.31,0,0.82,0,0,0,0.82,0,0,0,8.21,9.85,0,0,0,0,0
 36-46,0,0,4.83,0,5.64,66.06,4.03,0.81,2.42,0,0,0,0,0,0,0,0,12.09,0.81,0,0.81,444.73,0,0,0,0,0,4.83,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0.57,3.44,0,9.18,88.37,2.87,4.59,0.57,0,0,0,0.57,0,0.57,0,0,17.79,0,0,3.44,331.09,0.57,0.57,0.57,0,0,5.74,0,0,0,0,8.03,0,0,0,0.57,0.57
 60-70,0,0,3.93,0,9.82,80.48,0.98,2.94,0,0,0,0,8.83,0,0,0,0,43.19,0,0,0.98,288.57,0,1.96,0.98,0,0,6.87,0,0,0,0,4.91,0,1.96,0.98,0,0.98
 72-82,0,0,5.89,0,32.39,83.44,6.87,8.83,0,0,0,0,7.85,0.98,0,0,0,104.06,0,0,2.94,311.19,0,0.98,0.98,0,0,4.91,0,0,0,0,0.98,0,0,0,0.98,0.98
 84-94,0,0,14.87,1.06,27.61,175.24,7.43,9.56,2.12,0,0,2.12,16.99,0,0,0,0,83.9,2.12,0,4.25,149.75,1.06,0,0,0,0,11.68,0,0,0,0,3.19,1.06,0,0,1.06,0
 96-106,0,0,8.74,2.19,16.39,184.69,3.28,5.46,3.28,0,0,1.09,16.39,0,0,1.09,0,84.15,0,0,1.09,128.96,0,2.19,1.09,0,1.09,10.93,0,1.09,0,0,1.09,0,0,1.09,3.28,0
108-118,0,0,6.89,0.77,16.09,219.07,2.3,3.83,3.06,0,0,1.53,17.62,0.77,0,0,0,65.11,1.53,2.3,0,213.7,0,2.3,0.77,0,0,9.96,0,0,0.77,0,7.66,0,0,0.77,0.77,0
120,0,0,9.8,0,11.76,152.86,1.96,7.84,1.96,0,1.96,0,5.88,0,0,0,0,50.95,0,1.96,0,168.54,0,0,0,0,0,7.84,0,0,0,0,3.92,0,0,0,0,0
