stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,2,0,0,0,1,0,0,5,1,0,0,1,0,0
 24-34,0,4.1,0,0,0.82,0,0,0,0,0,6.57,3.28,0.82,0,0.82,0,18.88,0,1.64,13.95,1.64,0,0.82,0.82,5.75,0,0.82,1.64,0.82,0,0,1.64,0,0
 36-46,0,0.81,0.81,0,0,0,0,0.81,0.81,0,4.83,4.03,0.81,0,0.81,0,33.84,0,10.47,11.28,6.45,0,0,0.81,1.61,0,0,0,0.81,0,0.81,0,0,0
 48-58,0,5.74,1.15,0,1.72,1.15,4.59,8.03,2.3,0.57,8.03,20.08,0.57,0,0.57,0,76.89,0,14.92,21.23,7.46,0,0.57,1.72,0,0,0,0,3.44,0,1.15,2.87,0.57,0
 60-70,0,3.93,0,0,2.94,0.98,4.91,6.87,4.91,0,9.82,22.58,0,0,0.98,0.98,86.37,0,36.32,19.63,6.87,0.98,1.96,5.89,0.98,0,0,0,1.96,0,12.76,2.94,7.85,0
 72-82,0,2.94,3.93,0,16.69,0,1.96,15.71,10.8,0.98,11.78,71.66,0,0,1.96,0.98,158.05,0.98,54.97,18.65,24.54,0,1.96,9.82,0,0.98,0,0,6.87,0.98,30.43,4.91,50.06,0
 84-94,1.06,9.56,3.19,0,5.31,0,0,10.62,9.56,5.31,11.68,78.59,2.12,0,2.12,0,96.65,0,54.16,12.74,6.37,0,1.06,5.31,2.12,1.06,1.06,0,4.25,0,31.86,5.31,44.61,0
 96-106,1.09,6.56,4.37,0,14.21,2.19,2.19,19.67,6.56,5.46,10.93,78.68,4.37,0,3.28,2.19,191.25,0,45.9,31.69,25.14,1.09,3.28,20.76,0,1.09,0,0,2.19,0,15.3,10.93,61.2,0
108-118,0,9.96,2.3,0.77,9.96,0.77,3.06,7.66,17.62,9.19,7.66,53.62,2.3,1.53,0.77,0.77,169.28,0,36,29.11,22.98,1.53,1.53,20.68,2.3,1.53,0,0,2.3,1.53,9.96,9.96,45.19,2.3
120,0,9.8,1.96,1.96,0,3.92,0,15.68,11.76,3.92,7.84,90.15,3.92,0,0,1.96,127.39,0,29.4,13.72,7.84,0,0,19.6,0,0,1.96,0,1.96,0,9.8,15.68,37.24,0
