stage,blastomeres,eye,fast_muscle,immune,liver,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,slow_muscle,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0.81,0,0,0.81,0,0,0
 48-58,0,1.15,0,0.57,0,0,0,0.57,0.57,0,0,1.72
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.91,0,0,0,0,0,0,0,0
 84-94,0,0,0,5.31,0,0,0,1.06,3.19,0,0,0
 96-106,0,0,0,1.09,0,2.19,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,2.3,0,0.77,0,1.53,0
120,0,1.96,0,5.88,0,1.96,5.88,0,3.92,0,0,0
