stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,16,0,1,0,0,0
 24-34,0,0.82,3.28,0,0,0.82,6.57,0,0,0,0,0,3.28,0,0,2.46,6.57,0,1.64,0,0,116.56,0,0,0,0,0
 36-46,0,0,3.22,0,0,0.81,0.81,0.81,0,0.81,0,1.61,3.22,0,0.81,0,9.67,0,0,0,0,65.26,0,0,0,0,0
 48-58,0,0,4.59,0,0,4.02,4.59,0,0,0,0.57,5.16,1.15,0,1.72,2.3,6.31,0,2.3,0,0,91.81,0,1.15,0,0,0.57
 60-70,0,0,5.89,0.98,0,0.98,1.96,0,0,0.98,0,7.85,0.98,1.96,0.98,0,1.96,0,2.94,0,0,131.52,0,0,0.98,0.98,0
 72-82,0,2.94,13.74,0,1.96,0.98,1.96,0,0.98,1.96,0,14.72,0.98,4.91,0,0,2.94,0.98,0.98,0,0,106.02,0,0,0,0,0
 84-94,0,4.25,23.36,0,0,0,8.5,0,0,3.19,0,16.99,1.06,2.12,1.06,2.12,4.25,0,7.43,0,0,194.35,0,0,0,0,0
 96-106,0,1.09,41.53,2.19,1.09,3.28,6.56,0,1.09,6.56,0,32.79,2.19,8.74,3.28,5.46,4.37,0,26.23,0,0,279.77,0,0,0,1.09,0
108-118,0,0.77,26.81,0,2.3,0,13.79,0,1.53,11.49,0,17.62,1.53,5.36,2.3,2.3,5.36,0,6.13,0,0,150.89,0.77,0,0.77,2.3,0
120,0,0,9.8,0,0,1.96,15.68,0,0,11.76,0,11.76,3.92,7.84,1.96,5.88,3.92,0,1.96,1.96,0,146.98,0,0,0,0,0
