stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,28,17,1,0,0,0,0,3,9,4,0,3,0,0,0,0,120,1,0,19,40,4,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0.82,17.24,4.93,1.64,0,2.46,0,0,5.75,6.57,6.57,0,8.21,0.82,0,1.64,0.82,47.61,20.52,0,9.85,14.78,0,0,2.46,0,0,8.21,0,2.46,0,0,1.64,0
 36-46,0,0,0,1.61,0.81,0,0,3.22,0,0,8.86,10.47,5.64,0,3.22,0,0,7.25,0,29,26.59,1.61,0.81,8.06,0,0,1.61,0.81,0.81,8.86,0,0.81,0,0.81,0,0
 48-58,0,0,0,0.57,1.15,0,0,2.87,0,0,13.77,32.71,7.46,0,0.57,0,0,1.72,0,18.94,20.08,0,1.15,9.18,0,0,0.57,0,0,12.05,0,1.15,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,3.93,0,0.98,18.65,16.69,7.85,0,0.98,0,0,4.91,0,19.63,20.61,0,0,7.85,0,0.98,0,1.96,0,14.72,0,1.96,0.98,6.87,0,0
 72-82,0,0,2.94,1.96,0.98,0,2.94,4.91,1.96,0,48.1,11.78,0,0,0,0,0,0,0,4.91,46.14,1.96,0,14.72,0,0.98,0,0.98,0,19.63,0,0.98,4.91,7.85,0.98,0
 84-94,0,0,4.25,4.25,4.25,0,19.12,4.25,0,0,62.66,11.68,1.06,1.06,3.19,0,0,3.19,0,3.19,45.67,2.12,0,9.56,1.06,4.25,0,2.12,0,64.78,0,0,16.99,6.37,0,0
 96-106,0,0,3.28,7.65,4.37,2.19,17.49,5.46,2.19,1.09,99.45,1.09,0,0,0,0,5.46,4.37,0,7.65,61.2,0,1.09,9.84,0,0,0,3.28,0,36.06,0,0,19.67,9.84,0,1.09
108-118,0,0,0.77,11.49,6.89,0.77,49.02,3.06,2.3,1.53,103.41,0,0,0,2.3,0,0.77,6.13,0,4.6,38.3,1.53,1.53,7.66,0,1.53,0,2.3,0,64.34,0,0,26.04,7.66,0.77,0
120,0,0,0,1.96,7.84,0,17.64,1.96,0,1.96,74.47,0,0,0,1.96,0,0,3.92,0,3.92,27.44,0,0,11.76,0,3.92,0,0,0,37.24,0,0,7.84,5.88,0,0
