stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,1,0
 24-34,0,0,1.64,0,0,0,0,0.82,0.82,0,0,0,0.82,0,9.85,0.82,0,0,0,0,0.82,0
 36-46,0,0,1.61,0.81,1.61,0,0,0,0,0,0.81,0,1.61,0,4.83,0,1.61,0,0,0,0.81,0
 48-58,0,0,1.15,0,0,0,0,1.15,0.57,0,0,0,0,1.15,0,0,0,0,0.57,0,1.15,0
 60-70,0,0,0,0,3.93,0,0.98,0,0,0,0.98,0,0.98,0,1.96,0.98,0,0,0,0,0,0
 72-82,0,0,4.91,0,0.98,0,0,0.98,0,0.98,2.94,0,0.98,0,3.93,0,0,0,0,0,0,0
 84-94,0,1.06,4.25,0,4.25,0,0,0,0,0,0,0,1.06,1.06,3.19,0,0,0,0,0,1.06,0
 96-106,2.19,0,0,0,1.09,1.09,0,0,0,0,0,1.09,2.19,0,1.09,0,1.09,0,1.09,0,0,1.09
108-118,0.77,0,1.53,0,3.06,0,0,0,1.53,0,1.53,0,0.77,0,3.06,0,1.53,0,0,0,0,0
120,0,0,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,3.92,0,1.96,0,0,1.96,0,0
