stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,11,6,0,8,0,0,6,1,0,0,0,0,0,0,0,2,5,0,0,8,124,3,5,0,2,0,3,9,9,0,3,50,0,0,1,0,7
 24-34,0,0,1.64,2.46,6.57,1.64,0,46.79,0.82,0.82,4.93,0,0,0.82,0,5.75,0,1.64,0,3.28,21.34,0.82,0,11.49,466.25,1.64,10.67,1.64,0,0,9.85,0,2.46,0,1.64,96.86,0,0,3.28,0,18.06
 36-46,0,0,0,0,3.22,0,0,156.3,0,0.81,19.34,0,0,0.81,1.61,0.81,0,0.81,0.81,8.06,30.62,1.61,0,7.25,651.79,0.81,8.06,3.22,0,1.61,8.06,0,0.81,0,0,141.8,0,0.81,7.25,0,24.98
 48-58,0,0,0,0,2.3,0,0,237.56,0.57,1.72,28.69,0.57,0.57,3.44,0.57,1.72,1.72,2.3,0,8.03,44.18,3.44,2.87,4.02,450.44,0,3.44,2.3,0,0.57,4.59,0,0,1.15,0,105.01,0,0.57,5.16,0,24.67
 60-70,0,0,0,0,1.96,0,0,278.75,3.93,0.98,50.06,0.98,0.98,0.98,3.93,0,7.85,0.98,0,4.91,62.82,0,1.96,7.85,347.46,0,1.96,0,0,0,8.83,0,0.98,0,0,76.56,0,0,4.91,0,33.37
 72-82,0,0,1.96,0.98,2.94,3.93,0,204.19,0.98,1.96,56.94,3.93,0.98,2.94,0.98,1.96,7.85,1.96,0,1.96,76.57,9.82,2.94,2.94,277.81,0,7.85,1.96,0,0,11.78,0,1.96,0,0,23.56,1.96,1.96,18.65,1.96,21.6
 84-94,0,0,1.06,0,11.68,4.25,0,134.88,1.06,3.19,36.11,6.37,1.06,0,5.31,4.25,11.68,1.06,0,6.37,56.29,9.56,1.06,1.06,116.82,0,5.31,5.31,0,0,38.23,0,5.31,0,0,12.74,4.25,2.12,8.5,1.06,20.18
 96-106,0,0,0,0,15.3,6.56,0,100.54,1.09,0,39.34,13.11,0,4.37,13.11,14.21,13.11,3.28,1.09,8.74,45.9,3.28,1.09,2.19,104.91,1.09,6.56,7.65,0,1.09,27.32,0,0,0,0,7.65,1.09,2.19,10.93,2.19,18.58
108-118,0,0,0.77,0,16.09,2.3,0.77,81.96,1.53,1.53,37.53,16.85,0,1.53,7.66,6.13,13.79,3.06,0.77,9.19,34.47,3.06,0.77,6.89,119.49,0.77,1.53,1.53,0,0,16.85,0,3.06,0,0,3.06,2.3,0,13.02,0.77,23.74
120,0,0,0,0,13.72,1.96,1.96,47.03,3.92,0,25.48,15.68,0,0,15.68,1.96,7.84,0,0,1.96,31.36,5.88,1.96,5.88,80.35,1.96,1.96,0,0,0,29.4,0,1.96,0,0,5.88,0,1.96,9.8,0,11.76
