stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0
 24-34,0,0,1.64,4.1,0,0,1.64,0,0,0,0.82,0.82,0,0,0,0,0,0,43.51,0,2.46,0.82,0,0.82,4.1,0,0,0,0,0,0,0,0,5.75,0,0,0.82,0,0
 36-46,0,0,0.81,1.61,0,0,1.61,0,0,0.81,0,3.22,0,0,0,0,0,0.81,40.28,0,0,0,0,0,10.47,0,0,0,0,0,0.81,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,6.89,0,0,0,0.57,2.87,0,0,0,0,0,0,51.07,0,2.87,0,0,0,12.05,0,0,0,0,0,1.15,0,0,0.57,0,0,0,0,0.57
 60-70,0,0.98,0,0,0,0,9.82,0,0,0,0,1.96,0.98,0,0.98,0,0,0,77.54,0,1.96,0,0,0.98,16.69,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,1.96,0,0.98,3.93,0,24.54,0,0,0,9.82,3.93,0,0,0.98,0,0.98,1.96,175.72,0,11.78,0,0.98,0,61.84,0,0,0,0,0,2.94,0,0.98,0.98,0.98,0,0.98,2.94,0.98
 84-94,0,2.12,0,5.31,4.25,2.12,24.43,0,0,1.06,7.43,1.06,0,0,2.12,1.06,1.06,0,534.2,0,15.93,2.12,1.06,0,48.85,0,0,0,0,0,3.19,0,0,1.06,0,0,1.06,2.12,2.12
 96-106,0,3.28,0,20.76,26.23,6.56,79.78,1.09,5.46,7.65,15.3,9.84,0,1.09,13.11,2.19,1.09,5.46,820.73,0,73.22,4.37,2.19,8.74,239.33,3.28,5.46,6.56,1.09,2.19,41.53,0,1.09,3.28,5.46,4.37,13.11,5.46,5.46
108-118,0,1.53,0,21.45,17.62,6.13,78.13,1.53,3.06,1.53,23.74,7.66,0,0,5.36,0,6.13,0,1536.52,0,54.38,0.77,2.3,7.66,247.41,2.3,2.3,3.83,0,1.53,28.34,0.77,0,7.66,2.3,3.06,7.66,2.3,3.06
120,0,0,0,11.76,3.92,3.92,23.52,0,1.96,0,13.72,5.88,0,0,3.92,0,1.96,0,827.03,1.96,52.91,0,3.92,1.96,145.02,1.96,0,1.96,0,0,19.6,0,0,0,0,0,0,0,1.96
