stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,16,114,26,1,0,0,0,40,18,0,0,1,0,0,0,1,43,0,0,57,347,22,0,0,56,0,7,150,1,2,113,558,0,0,2,0,0
 24-34,11.49,15.6,2.46,3.28,0,0,0.82,65.67,3.28,0,0,0,0,3.28,0.82,0,77.16,0,0,77.98,742.87,3.28,0,0,0,0,3.28,0.82,9.85,2.46,17.24,660.79,0,0,16.42,0,1.64
 36-46,0.81,6.45,0.81,5.64,0,0.81,3.22,33.03,0.81,0,0,0,0,0.81,0,0.81,73.32,0,1.61,33.03,672.73,2.42,0.81,0,0,0.81,1.61,0,4.83,0,0,517.24,0,0,10.47,0,0
 48-58,0,6.89,0,18.94,0,1.15,2.87,41.31,0,1.15,0,0,0,1.15,0,0,83.2,0,4.59,31.56,605.36,1.72,1.15,0.57,0.57,0.57,2.87,0,5.16,0,0,414.86,0,1.15,8.61,0,0.57
 60-70,0,8.83,0,14.72,0.98,5.89,1.96,32.39,1.96,0.98,0.98,0,0.98,0,0,0.98,100.12,0,2.94,16.69,391.63,0,0,0,0,0,3.93,0,1.96,0,0,167.84,0,1.96,5.89,0.98,0
 72-82,0,11.78,0,17.67,0.98,0.98,0,43.19,1.96,0,0,0,0.98,1.96,0,1.96,125.65,0,4.91,32.39,276.83,0.98,0.98,0,0,0.98,0.98,0,1.96,0,0,107.98,0,1.96,11.78,1.96,0
 84-94,0,2.12,2.12,19.12,2.12,0,2.12,20.18,1.06,2.12,0,0,1.06,1.06,0,3.19,59.47,0,4.25,4.25,112.58,4.25,0,0,0,1.06,2.12,0,3.19,0,0,43.54,1.06,2.12,5.31,0,1.06
 96-106,0,7.65,2.19,10.93,2.19,0,0,32.79,2.19,2.19,0,0,1.09,0,0,0,63.39,1.09,4.37,14.21,96.17,0,0,1.09,0,3.28,0,0,0,2.19,0,16.39,4.37,2.19,10.93,2.19,1.09
108-118,0,3.83,0,4.6,0.77,1.53,0,22.98,0.77,0,0,0,1.53,0,0.77,0.77,52.09,0.77,3.06,12.26,71.23,0,0,0,0.77,0,0,0,0,0,0,14.55,0.77,0,6.13,0,1.53
120,0,5.88,1.96,11.76,0,0,1.96,17.64,1.96,0,1.96,0,1.96,1.96,0,0,60.75,0,3.92,17.64,58.79,1.96,0,0,0,1.96,1.96,0,7.84,1.96,0,11.76,0,0,1.96,1.96,0
