stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,1,0,8,0,0
 24-34,0,0,0.82,2.46,0.82,0,0,0.82,0,0,1.64,0,0,0.82,0,0,0,0,52.53,0,0,0,0,0,0,0.82,4.93,0,49.25,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,1.61,0,0,0,6.45,0,0,0,70.9,0,0,0,0,0,0,0,2.42,0,29.81,0,0
 48-58,0,0,0.57,0,2.87,0,0,0.57,0,0,1.15,0,0,0.57,13.77,0,0,0,87.79,0,0.57,0,0,0,0,0,4.59,0,28.12,0,0.57
 60-70,0,0,0.98,0,1.96,0,0,0.98,0,0,0,0.98,0,0,36.32,0,0.98,0.98,105.02,0,0,0,2.94,0,0,0,9.82,0.98,27.48,0,0
 72-82,0,0,0.98,0,12.76,0.98,0.98,0.98,0,0,0,0.98,0,0,59.88,0.98,4.91,0,109.95,0,2.94,0,3.93,0,0,0,1.96,1.96,70.68,0.98,0
 84-94,0,1.06,1.06,0,5.31,2.12,0,6.37,0,0,2.12,1.06,0,0,42.48,0,5.31,1.06,43.54,0,0,0,4.25,1.06,0,0,1.06,1.06,48.85,1.06,0
 96-106,0,0,2.19,0,10.93,0,0,1.09,1.09,0,0,0,0,0,71.04,0,6.56,1.09,48.09,0,5.46,0,7.65,0,0,0,2.19,3.28,61.2,2.19,0
108-118,0,0.77,0.77,0,2.3,1.53,0,1.53,0,0,1.53,0,0.77,0,73.53,0,4.6,0.77,45.19,0.77,0.77,0,3.06,0.77,0.77,0,3.06,4.6,42.13,0,0
120,0,0,5.88,0,3.92,0,1.96,0,0,0,1.96,0,0,0,78.39,0,0,0,76.43,0,0,0,1.96,0,0,0,0,1.96,29.4,1.96,0
