stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,2.63,0,0,2.63,0,0,2.63,0,0,26.29,0,15.77,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,25.18,3.15,25.18,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,1.15,0,0,0,0.57,0.57,4.02,0,0,0.57,1.15
 60-70,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,4.25,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,0,0,0,0,2.19,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,3.92,0,0,0,0
