stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  5-6,61.3,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,15.77,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,3.15,0,0,0,0
 14-21,0,1,1,0,3,0,0,0,0,0,9,0,0,1,0,2,1,8
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,2.46,0,0,0,0.82,0,0,1.64
 36-46,0,0,0,0,0.81,0.81,0,0,1.61,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,0,2.3,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0.98,0,0,0.98,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,1.96,0,0,0.98,0,9.82,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,2.12,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,0,0,0,0,1.09,0,4.37,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0
