stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,44,1,0,0,0,1,21,0,0,0,0,1,4,0,0,0,1,1,2,0,0,45,0
 24-34,0.82,5.75,1.64,0,0,0,2.46,34.48,0.82,0,0.82,0,2.46,19.7,0,0,0.82,0.82,0,0.82,5.75,0,139.55,0
 36-46,0,3.22,2.42,0,0,0,0.81,50.76,0,0.81,1.61,0,1.61,16.11,0.81,0,0,1.61,0,0,1.61,0,95.07,0
 48-58,0,0.57,1.72,0.57,0,0,1.15,22.95,0,0,1.15,0,0.57,11.48,0,0,0,0.57,0,0,0,0,27.54,0
 60-70,0,0,1.96,1.96,1.96,0,0.98,22.58,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0.98,10.8,0.98
 72-82,0,1.96,1.96,0,0.98,0,0,17.67,0,0,3.93,0,0,3.93,0,0,0,0.98,0,0,0,0,21.6,0.98
 84-94,0,0,1.06,0,0,0,2.12,18.05,0,0,1.06,1.06,0,1.06,0,1.06,0,0,0,0,1.06,1.06,21.24,0
 96-106,0,0,1.09,0,0,1.09,0,22.95,1.09,0,0,1.09,0,0,0,0,3.28,0,0,0,0,0,17.49,2.19
108-118,1.53,0,0.77,0,0,0,0,19.15,0,0,1.53,0,0,1.53,0,1.53,0,0,0,0,0,0,16.09,0
120,0,0,0,0,0,0,0,29.4,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,23.52,1.96
