stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,15.77,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,126.18,5.26,0,0,52.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,18.88,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,144.76,3.15,0,0,53.5,0,0,6.29,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,1,0,1,6,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,1.64,0,0.82,0.82,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,62.39,0.82,0,0.82,0,0,0,0,0.82,22.98,0,0,0.82,0,0
 36-46,0,0,0.81,0,0.81,0,8.86,0,0,2.42,0,0,0,0,0,0,0,0,0,3.22,0,0,1.61,156.3,0,4.83,0,0,0,0,0,0,45.92,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0.57,24.1,0,0.57,2.87,0,0,0,0.57,0,0,0,0,0,6.89,0,0,0,189.36,0,2.87,0,0,0,0,0,0,41.89,0,0,1.15,0,0
 60-70,0,0,0,0,2.94,0,63.8,0,0,3.93,0,0,0,4.91,0,0,0,0,0,10.8,0.98,0,0,364.14,0,2.94,1.96,0,0.98,0,0,0,61.84,0,0.98,0.98,0,0
 72-82,0,0,0.98,0,0.98,0,116.82,0,0,10.8,0,0,0,4.91,0,0,0.98,0,0,18.65,0,0.98,0.98,392.66,0,10.8,0,0,1.96,0,0,0,46.14,0,0,0.98,0,0
 84-94,0,0,1.06,0,4.25,1.06,77.53,0,0,14.87,1.06,0,0,7.43,0,0,1.06,0,0,5.31,0,1.06,0,224.09,0,7.43,1.06,0,2.12,0,0,0,37.17,0,0,4.25,2.12,0
 96-106,0,0,0,0,2.19,2.19,78.68,0,1.09,22.95,2.19,0,2.19,10.93,0,0,3.28,1.09,1.09,7.65,0,0,0,229.5,0,5.46,2.19,0,2.19,0,0,0,16.39,1.09,0,0,0,1.09
108-118,0,0,0.77,0.77,6.89,0.77,90.38,0.77,0,24.51,0.77,0,0,3.83,0,1.53,0,0,0,4.6,0.77,0,3.06,264.26,0,3.06,0,0,0,0,0,0,18.38,0.77,0,0.77,0,0.77
120,0,0,0,0,7.84,0,76.43,0,0,23.52,0,0,0,13.72,0,0,1.96,0,0,5.88,1.96,1.96,5.88,403.72,0,3.92,0,0,0,0,0,0,31.36,0,0,1.96,0,0
