stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,16,0,1,0,0,0,0,5,0,0,0,1,0,0,5,0,0,0,0,0,15,1,0,0,0,0,2,200,1,1,10,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,1.64,0,2.46,0,0,0,0.82,3.28,0,0.82,0,0,0,0,8.21,0.82,4.1,0,0,0.82,39.4,0,0,0,0,0,5.75,133.8,0.82,0,6.57,0,0,3.28,0,0
 36-46,0,0,0,0,0,0,0,4.03,0,0,0,0,1.61,0,0,0,0,0,0,4.03,0,0.81,0,0,0.81,27.39,0,0.81,0,0,0,1.61,88.62,0,0,5.64,0,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0.57,0,6.89,0.57,0,0,1.72,9.18,0,0,0,0,0,0.57,2.3,1.15,1.15,0,0.57,0,28.69,0,1.15,0,0,0,0.57,57.38,0,0,3.44,0,0,0,0,1.15
 60-70,0,0,1.96,0,0.98,0,0,17.67,0.98,1.96,0.98,3.93,42.21,0,0,0,0,0.98,0.98,1.96,0,0.98,0,0.98,0.98,21.59,0,0.98,0,0,0,1.96,70.67,0,0,2.94,0,0.98,1.96,0.98,0.98
 72-82,0,0,12.76,0,1.96,0,0,65.77,0,0.98,0,8.83,195.35,0,0,0.98,0,0.98,0.98,5.89,0,14.72,0,0,2.94,75.59,0.98,0.98,1.96,0,0,3.93,94.24,0,0,4.91,0,0.98,1.96,0.98,1.96
 84-94,0,0,8.5,8.5,4.25,2.12,0,25.49,0,1.06,0,6.37,365.34,0,0,0,0,0,1.06,7.43,1.06,4.25,1.06,1.06,1.06,33.99,0,1.06,0,0,0,6.37,218.78,0,0,0,3.19,1.06,1.06,1.06,0
 96-106,0,0,9.84,16.39,7.65,9.84,2.19,41.53,1.09,2.19,1.09,13.11,512.55,0,0,5.46,0,3.28,0,13.11,0,24.04,2.19,1.09,3.28,114.75,1.09,2.19,2.19,0,1.09,12.02,217.48,0,0,4.37,1.09,1.09,3.28,3.28,3.28
108-118,0.77,0,5.36,18.38,10.72,3.83,1.53,33.7,0,0.77,0.77,5.36,563.75,0,1.53,6.13,0.77,2.3,0,11.49,0,13.79,0,0,1.53,85.79,0,0.77,3.06,0,0,8.43,200.68,0,0,0.77,0,0,0.77,1.53,0.77
120,0,0,1.96,3.92,5.88,0,1.96,13.72,3.92,1.96,0,7.84,393.92,0,0,1.96,1.96,0,1.96,5.88,1.96,9.8,0,0,0,66.63,1.96,0,0,0,0,5.88,145.02,0,0,1.96,0,1.96,3.92,0,0
