stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,2,5,0,0,0,0,0,0,0,3,0,53,2,0,0,0,0,0,1,5,125,2,0,3,0
 24-34,0,0,1.64,0.82,0,1.64,0.82,0,0,1.64,0.82,42.68,0,77.98,11.49,0,1.64,0,0,0,0.82,0,21.34,2.46,0,6.57,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,0,75.73,0.81,37.87,8.06,0,0,0,0,0,0,0,0,2.42,0,3.22,0
 48-58,0,0,0,0,0,0,1.72,1.72,0,0,0,53.94,1.15,17.79,7.46,0,0,0.57,0,0,0,0,0,0.57,0,0.57,0
 60-70,0,0,0,0.98,0,2.94,0,1.96,0,0,0,38.28,0.98,14.72,7.85,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,1.96,2.94,0,1.96,0,0.98,0,42.21,1.96,11.78,7.85,0,0,0,0,0,0,0,0,0,0.98,0.98,0.98
 84-94,0,0,0,1.06,2.12,7.43,0,2.12,0,0,0,27.61,0,13.81,4.25,0,0,5.31,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,6.56,6.56,1.09,0,1.09,0,1.09,0,26.23,3.28,8.74,6.56,0,0,3.28,0,1.09,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0,12.26,1.53,0.77,0.77,0,0,0,27.57,6.89,10.72,12.26,0,0.77,4.6,0,0,0,0,0,0.77,0.77,1.53,0
120,0,0,1.96,0,0,3.92,0,0,0,0,0,17.64,1.96,11.76,7.84,0,0,1.96,0,0,0,0,0,0,0,0,0
