stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,2,27,0,6,0,0,2,0
 24-34,0,0,0,0,0.82,0.82,4.1,0.82,0,0.82,0.82,0.82,0,3.28,0,0,1.64,25.45,0,3.28,0,0,0,0,0,0.82,1.64,4.93,0,0,0.82,0
 36-46,0,0,0,0,0,0,7.25,0,3.22,0,0.81,0,0,8.06,0,0,0.81,31.42,0,4.83,0,0,0,0,0,1.61,0,9.67,0,0,0,0
 48-58,0,0,0,0,0,0.57,6.89,0.57,2.87,0,1.15,0,0,4.59,0,0,0,22.38,0,0.57,0,0,0,0.57,0,0.57,0,5.16,0,0,1.15,0
 60-70,0,0,0,0,0.98,0,59.87,0,2.94,0.98,0,0,0,12.76,0,0,0.98,39.26,0,5.89,0.98,0,0.98,0,0,0,0,7.85,0,0,0,0
 72-82,0,0,0,0,0.98,2.94,130.56,0,9.82,0.98,0,0,0,14.72,0,0.98,0.98,49.08,0,4.91,0,0,0,0,0,0,0,8.83,0,0,1.96,0
 84-94,1.06,0,1.06,0,2.12,2.12,110.45,0,8.5,1.06,0,0,0,11.68,1.06,0,5.31,26.55,1.06,5.31,0,0,0,0,0,0,0,9.56,0,1.06,0,0
 96-106,0,0,1.09,0,4.37,1.09,126.77,2.19,6.56,2.19,0,0,1.09,10.93,0,0,0,26.23,0,7.65,0,0,3.28,0,0,1.09,0,5.46,0,1.09,2.19,1.09
108-118,0,0,3.06,0,3.06,0,116.43,0,10.72,0.77,0,0.77,0,11.49,0,0.77,0.77,29.87,0,0.77,0,0,1.53,1.53,0,0,0,2.3,0.77,0,2.3,0
120,0,0,1.96,0,1.96,0,68.59,0,5.88,1.96,0,0,0,0,0,1.96,0,29.4,0,3.92,0,0,0,0,0,0,0,1.96,0,0,0,0
