stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,275.83,2359.91,0,24.52,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,478.11,0,0,0,116.46,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,134.06,160.35,0,641.41,0,0,26.29,0,0,0,0,0,241.84,0,0,0,0,0,0,0,0,0,0,3832.66,352.25,0,0,3554.02,0,2.63,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,6.29,135.32,0,258.05,0,6.29,78.67,0,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,3112.35,264.35,0,0,2319.32,0,0,6.29,3.15,125.88,0,9.44,6.29,0,0,0,0,0
 14-21,0,0,0,1,44,11,29,0,2,0,26,4,0,0,0,0,0,0,0,1,94,0,99,837,64,1,55,132,0,1,0,103,1,3,107,277,0,0,1,0,0
 24-34,0,0,0,0,7.39,1.64,21.34,0,3.28,0,14.78,0,0,0.82,0.82,0,0,1.64,0,0.82,73.88,0,45.97,844.66,1.64,0.82,29.55,0,0,0,0,0,0.82,0,11.49,137.9,0,0,5.75,0,2.46
 36-46,0,0,0,0,4.03,0.81,20.95,0,1.61,0,17.72,0.81,0,0,0,0,0,0,0,0,50.76,0.81,10.47,484.21,0,0.81,13.7,0,0.81,1.61,0,0,0,0,0,57.2,0,0,0,0,8.86
 48-58,0,0,0,0,2.3,0.57,57.95,0,0,0,17.79,0,0,0,0,0,0,0.57,0,0,48.77,0,9.18,382.73,0.57,0,6.31,0,0,0,0,0,0,0,0,20.08,0,0,0.57,0,7.46
 60-70,0,0,0,0,2.94,0.98,63.8,0,0.98,0,23.56,0,0,0,0,0,0,0,0,0,42.21,0,1.96,458.37,0,0,2.94,0,0,0.98,0,0,0,0.98,0,6.87,0,0,0.98,0,7.85
 72-82,0,0,0,0,6.87,0,72.64,0,0.98,3.93,37.3,0,0,1.96,0,0,0.98,0.98,0,0,46.14,3.93,2.94,440.77,0,0,5.89,0,0,0,0,0,0,0,0,4.91,2.94,0.98,7.85,0,5.89
 84-94,0,0,1.06,0,10.62,1.06,65.85,0,1.06,0,19.12,1.06,0,0,1.06,0,1.06,0,0,0,29.74,2.12,2.12,288.87,0,0,8.5,0,0,2.12,0,0,0,1.06,0,4.25,3.19,0,1.06,2.12,3.19
 96-106,0,0,0,0,10.93,2.19,34.97,0,0,1.09,18.58,0,1.09,1.09,0,1.09,0,0,0,0,37.16,0,1.09,201.08,0,0,9.84,0,0,3.28,0,0,0,0,0,4.37,14.21,1.09,5.46,1.09,9.84
108-118,0,0,0,0,9.96,0.77,22.98,0,0,0,14.55,0,0,0.77,0,3.06,1.53,0,0,0,36,0,0.77,243.58,0,0.77,10.72,0,0,1.53,0,0,0,0,0,2.3,16.09,0,3.83,0,2.3
120,0,0,0,0,15.68,5.88,45.08,1.96,0,0,31.36,0,0,0,0,1.96,1.96,1.96,1.96,0,25.48,0,3.92,268.49,0,0,7.84,0,0,0,0,0,0,0,0,1.96,17.64,0,1.96,0,0
