stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0
 24-34,0,0,0.82,1.64,2.46,0,0,0.82,0,0.82,0,0,0,16.42,0.82,0.82,0,3.28,0,0,0,1.64,0,1.64,0,0
 36-46,0,0,0,0.81,5.64,0,0,0.81,0,0,0,0.81,0,36.26,1.61,0,0,0,0,0,0,8.06,0,0,0,0
 48-58,0,0,0,0,6.89,0.57,0,0,0,0,0,0.57,0.57,24.67,0,0,0,0,0,0,0,4.02,0,0,0,1.15
 60-70,0,0,0,0,16.69,0,0,0.98,0,0.98,0,0,0,19.63,0.98,0,0,0,0,0,0,2.94,0,0,0,0.98
 72-82,0,0,0.98,0,19.63,0,0,0,0,1.96,0,4.91,0,22.58,0,0,0,0,0,0,0,2.94,0.98,0.98,0,0
 84-94,0,0,0,0,6.37,0,0,0,0,0,0,2.12,0,15.93,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,8.74,0,0,0,1.09,7.65,0,0,0,15.3,0,0,0,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0.77,2.3,0,0.77,0,0,6.89,1.53,0,0,8.43,0.77,0,0,0,0,0,0,0,5.36,0,0,0
120,0,0,0,0,0,1.96,0,0,0,3.92,0,1.96,0,5.88,0,0,0,0,0,0,0,0,3.92,1.96,0,0
