stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,gut,ionocyte,lateral.line,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
 24-34,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0,0.82,0,0,0,0
 36-46,0,0.81,0,0,0.81,0,0,0,0.81,0.81,0.81,0,0,2.42,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,0,0,0.57,0.57,0,0,0.57,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,1.96,1.96,0.98,0,0.98,0.98,0,0,0
 72-82,0,1.96,0.98,0,0,0,0,2.94,0.98,0,0,0.98,0,1.96,0,0.98,0,0
 84-94,0,1.06,1.06,1.06,0,1.06,0,2.12,0,0,2.12,0,0,6.37,0,0,0,0
 96-106,0,2.19,0,0,0,0,0,0,0,0,1.09,1.09,0,6.56,0,0,0,0
108-118,0,1.53,0,0,0,0.77,0,1.53,0,0,1.53,0.77,0,3.06,0,0,0,0
120,0,3.92,0,0,0,0,1.96,0,3.92,0,0,1.96,0,3.92,0,0,0,0
