stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,53.5,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,10,0,0,5,1,1,0,0,0,0,0,2,0,0,5,70,0,1,1,0,0,2,2,1,0,0,3,25,0,0,1,0,0
 24-34,0,0,0.82,3.28,0.82,0,35.3,0,0,0.82,0.82,0,1.64,0.82,0.82,0,0.82,13.95,0,0,12.31,173.2,1.64,0,4.1,0,0,7.39,0,0,0.82,0,0,33.66,0,0,0.82,0,0
 36-46,0,0,0,1.61,1.61,0,35.45,0,0,5.64,0,0,0.81,0,0,0,0.81,12.09,0,0,4.83,43.51,0,0,0.81,0,0,0.81,0,0,0,0,0,15.31,0,0,3.22,0,0
 48-58,0,0,0,1.72,1.15,0,26.97,0,0.57,4.59,0,0,0,0.57,0,0.57,0,17.21,0,1.15,6.31,30.99,0,0,0,0,0,1.15,0,0,0,0,0,4.59,0,0,1.15,0,0.57
 60-70,0,0,0,1.96,0.98,0,15.7,0.98,0.98,11.78,1.96,0,0,0,0,0,0,17.67,0,1.96,2.94,18.65,0,0,0.98,0,0,3.93,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,5.89,0,1.96,9.82,0,0,0,0.98,0,0,0.98,29.45,0,4.91,6.87,21.6,0,0,1.96,0,0,1.96,0,0,0.98,0,0,2.94,0.98,0,2.94,0,0
 84-94,0,0,0,4.25,1.06,0,6.37,0,3.19,10.62,0,0,0,0,0,0,1.06,22.3,2.12,1.06,3.19,13.81,4.25,0,1.06,0,0,2.12,0,0,0,0,0,0,0,1.06,8.5,0,0
 96-106,0,0,0,6.56,1.09,1.09,14.21,0,0,8.74,1.09,0,0,2.19,0,0,1.09,21.86,0,1.09,4.37,14.21,1.09,0,2.19,0,0,3.28,0,0,0,0,0,0,1.09,0,2.19,1.09,0
108-118,0,0,0,8.43,3.06,0.77,8.43,0.77,1.53,10.72,0,0,1.53,3.06,0,0,0,39.83,0,1.53,4.6,26.81,0,0,0,0,1.53,5.36,0,0,0,0.77,0,0,0,0.77,7.66,0,0
120,0,0,0,3.92,0,0,7.84,0,1.96,17.64,1.96,0,0,5.88,0,0,0,41.16,0,1.96,3.92,27.44,0,0,0,0,1.96,3.92,1.96,0,0,0,0,0,0,0,5.88,0,0
