stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,44.06,3.15,0,31.47,0,0,3.15,0,0,0,0,0
 14-21,0,1,2,4,2,0,1,0,2,0,0,0,0,0,0,1,0,0,2,22,0,0,0,0,3,1,3,4,0,0,0
 24-34,0,0.82,0,1.64,0,0,4.1,0,0,0,0,0,0,0.82,0,4.1,0,0,0,31.19,0.82,0,0,0.82,0,9.03,0,7.39,0,2.46,0
 36-46,0,0,0,1.61,0,0,4.83,0,3.22,0,0,0,0,0,0,4.83,0,0,2.42,24.98,0.81,1.61,0,0,0,3.22,0,4.03,0,1.61,0
 48-58,0,0.57,0,0,0,0,5.74,0,2.3,0,0,0,0,0,0,7.46,0,0,1.72,6.89,0,0,0,0,0,1.15,0,4.59,0,0,0
 60-70,0,0,0,0.98,0.98,0,4.91,0.98,1.96,0,0,0,0.98,0,0.98,8.83,0,0,0.98,5.89,0,0,0,0,0,2.94,0,1.96,0.98,1.96,0
 72-82,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,14.72,0,0.98,0,3.93,0,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,2.12,0,4.25,0,0,1.06,0,0,0,0,0,1.06,0,0,7.43,0,0,0,4.25,0,0,0,0,0,8.5,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,12.02,0,0,1.09,4.37,0,3.28,0,2.19,0,10.93,0,0,0,1.09,1.09
108-118,0,0,0,1.53,0,0.77,0,0,0.77,0,0,0,0,0,0,3.83,0,0.77,0.77,1.53,0,0,0,0,0,23.74,0,0.77,0,0,0.77
120,0,3.92,0,1.96,0,0,0,0,5.88,0,0,1.96,0,0,0,11.76,1.96,0,0,7.84,1.96,0,0,0,0,17.64,0,0,0,0,0
